Line,name
9,80
10,44
22,58
25,57
27,57
34,24
35,22
36,23
40,34
41,33
42,32
43,33
45,45
46,45
48,30
49,31
50,31
52,71
60,12
61,12
69,100
77,90
85,68
86,65
87,69
90,95
102,45
105,46
114,16
116,6
136,4
137,4
149,65
151,65
153,66
155,102
179,37
180,38
188,69
197,25
198,28
201,11
216,37
225,107
226,107
231,94
238,7
239,9
242,61
243,60
246,14
247,12
248,103
253,106
255,84
258,12
260,97
269,102
276,2
287,6
288,100
295,9
312,102
330,91
332,88
333,88
336,60
338,15
349,60
363,43
364,41
373,111
379,97
381,85
388,12
391,21
405,9
406,9
420,19
424,77
427,69
434,52
444,110
453,64
454,48
461,108
471,82
481,96
489,96
505,42
507,55
512,19
524,27
526,78
528,12
531,63
534,40
535,74
537,88
545,98
547,75
1,46
4,61
5,30
6,70
8,2
17,92
18,85
19,56
20,104
26,26
29,113
30,49
31,105
32,113
33,54
38,1
56,6
58,97
62,99
64,5
65,31
66,5
68,5
70,60
74,60
75,9
76,9
78,50
83,114
98,81
99,81
101,101
107,82
120,8
127,112
133,3
140,10
142,107
146,87
147,43
148,109
159,68
161,71
182,75
185,101
186,46
187,46
200,89
206,93
207,79
210,91
211,91
217,21
218,21
224,77
227,86
229,45
234,17
235,17
262,74
263,83
266,22
267,73
268,73
280,3
282,19
304,3
306,59
309,76
310,20
318,63
334,60
339,53
343,36
346,43
359,67
362,11
370,46
371,61
372,48
386,101
396,35
397,56
402,108
403,17
410,28
415,18
429,67
436,28
440,114
443,13
445,89
449,64
452,47
455,29
462,71
464,72
467,72
472,2
473,101
480,89
496,17
501,39
502,39
514,115
520,24
538,51
541,62
544,74
546,83
