Bus,busmap
1,KR0 20
101,KR0 5
103,KR0 6
105,KR0 9
108,KR0 22
110,KR0 7
112,KR0 15
114,KR0 18
116,KR0 2
118,KR0 2
12,KR0 1
120,KR0 11
121,KR0 8
124,KR0 21
128,KR0 3
130,KR0 10
132,KR0 11
134,KR0 13
136,KR0 28
137,KR0 15
140,KR0 0
142,KR0 28
144,KR0 26
146,KR0 19
148,KR0 12
15,KR0 1
150,KR0 0
152,KR0 24
154,KR0 24
156,KR0 10
158,KR0 23
159,KR0 4
163,KR0 29
168,KR0 10
170,KR0 12
172,KR0 23
174,KR0 3
176,KR0 23
177,KR0 28
178,KR0 19
18,KR0 6
180,KR0 0
181,KR0 0
183,KR0 12
184,KR0 0
185,KR0 0
186,KR0 0
188,KR0 12
189,KR0 11
190,KR0 11
192,KR0 24
195,KR0 24
196,KR0 1
197,KR0 1
198,KR0 6
199,KR0 19
201,KR0 25
202,KR0 22
203,KR0 8
205,KR0 12
207,KR0 20
208,KR0 0
21,KR0 7
210,KR0 22
213,KR0 12
22,KR0 7
224,KR0 28
226,KR0 28
227,KR0 28
228,KR0 28
229,KR0 17
230,KR0 19
232,KR0 21
233,KR0 21
234,KR0 8
235,KR0 25
237,KR0 26
239,KR0 14
24,KR0 19
241,KR0 1
242,KR0 28
244,KR0 24
246,KR0 28
248,KR0 17
249,KR0 29
250,KR0 29
254,KR0 3
255,KR0 25
257,KR0 3
259,KR0 19
260,KR0 19
261,KR0 3
262,KR0 3
266,KR0 21
267,KR0 18
27,KR0 8
271,KR0 19
272,KR0 12
273,KR0 0
274,KR0 23
275,KR0 23
277,KR0 23
278,KR0 23
280,KR0 19
281,KR0 11
283,KR0 2
285,KR0 23
286,KR0 11
287,KR0 5
289,KR0 11
290,KR0 14
291,KR0 28
292,KR0 14
293,KR0 22
294,KR0 18
295,KR0 27
296,KR0 7
297,KR0 18
298,KR0 28
299,KR0 29
3,KR0 25
30,KR0 8
300,KR0 28
301,KR0 28
302,KR0 29
305,KR0 5
307,KR0 11
310,KR0 6
311,KR0 22
312,KR0 8
313,KR0 0
314,KR0 8
32,KR0 23
322,KR0 14
323,KR0 1
326,KR0 13
327,KR0 29
328,KR0 29
329,KR0 29
330,KR0 16
332,KR0 4
333,KR0 9
334,KR0 9
335,KR0 6
336,KR0 6
337,KR0 24
338,KR0 29
34,KR0 19
340,KR0 27
341,KR0 27
342,KR0 27
343,KR0 6
344,KR0 27
