Bus,busmap
345,KR0 27
346,KR0 14
347,KR0 6
348,KR0 9
349,KR0 26
352,KR0 10
353,KR0 1
354,KR0 20
355,KR0 18
356,KR0 23
357,KR0 29
359,KR0 8
36,KR0 21
360,KR0 3
362,KR0 25
364,KR0 25
366,KR0 3
369,KR0 1
37,KR0 26
370,KR0 6
371,KR0 9
372,KR0 27
373,KR0 9
374,KR0 9
375,KR0 22
376,KR0 21
377,KR0 27
378,KR0 24
380,KR0 28
381,KR0 9
383,KR0 7
385,KR0 8
386,KR0 27
388,KR0 24
389,KR0 0
39,KR0 26
390,KR0 9
392,KR0 17
393,KR0 17
394,KR0 5
396,KR0 0
397,KR0 27
398,KR0 19
400,KR0 5
402,KR0 4
403,KR0 15
404,KR0 8
405,KR0 26
407,KR0 11
408,KR0 26
409,KR0 26
41,KR0 14
410,KR0 15
413,KR0 13
414,KR0 13
415,KR0 28
417,KR0 11
419,KR0 25
420,KR0 25
422,KR0 0
423,KR0 22
424,KR0 22
425,KR0 5
426,KR0 5
427,KR0 27
428,KR0 5
429,KR0 5
433,KR0 5
434,KR0 5
435,KR0 5
436,KR0 11
437,KR0 11
44,KR0 14
440,KR0 12
441,KR0 21
443,KR0 25
444,KR0 21
446,KR0 18
448,KR0 4
450,KR0 12
451,KR0 23
452,KR0 12
453,KR0 12
454,KR0 25
455,KR0 29
456,KR0 17
457,KR0 29
458,KR0 29
459,KR0 14
46,KR0 28
460,KR0 24
462,KR0 24
463,KR0 28
464,KR0 28
465,KR0 28
466,KR0 28
467,KR0 13
468,KR0 29
474,KR0 24
477,KR0 4
478,KR0 4
479,KR0 4
48,KR0 24
481,KR0 4
482,KR0 4
483,KR0 28
484,KR0 28
485,KR0 28
486,KR0 3
487,KR0 3
488,KR0 3
491,KR0 6
493,KR0 9
494,KR0 6
495,KR0 22
496,KR0 22
497,KR0 5
5,KR0 24
50,KR0 28
504,KR0 7
505,KR0 7
508,KR0 27
509,KR0 26
510,KR0 26
511,KR0 15
513,KR0 27
514,KR0 27
515,KR0 27
519,KR0 0
52,KR0 8
523,KR0 19
524,KR0 26
525,KR0 9
526,KR0 27
527,KR0 18
528,KR0 12
53,KR0 14
530,KR0 25
533,KR0 7
535,KR0 4
536,KR0 11
537,KR0 21
540,KR0 17
542,KR0 13
543,KR0 13
545,KR0 6
546,KR0 3
548,KR0 28
55,KR0 19
550,KR0 1
551,KR0 24
552,KR0 24
554,KR0 14
555,KR0 4
557,KR0 24
560,KR0 2
561,KR0 27
563,KR0 26
564,KR0 5
565,KR0 5
566,KR0 5
567,KR0 22
569,KR0 18
57,KR0 6
570,KR0 8
575,KR0 8
581,KR0 19
582,KR0 6
585,KR0 9
588,KR0 1
589,KR0 4
59,KR0 17
590,KR0 19
591,KR0 28
593,KR0 19
594,KR0 0
598,KR0 7
604,KR0 9
606,KR0 7
607,KR0 7
608,KR0 17
61,KR0 26
610,KR0 7
612,KR0 14
614,KR0 22
615,KR0 5
619,KR0 18
623,KR0 29
625,KR0 24
626,KR0 28
627,KR0 4
628,KR0 26
629,KR0 9
63,KR0 13
630,KR0 15
631,KR0 7
638,KR0 21
641,KR0 26
642,KR0 13
65,KR0 29
68,KR0 20
70,KR0 29
72,KR0 3
73,KR0 3
75,KR0 21
77,KR0 8
79,KR0 12
8,KR0 1
81,KR0 21
83,KR0 0
85,KR0 12
88,KR0 12
90,KR0 23
92,KR0 23
94,KR0 2
96,KR0 4
98,KR0 7
99,KR0 26
