Line,name
3,524
5,165
6,167
7,168
8,166
10,204
11,206
12,205
13,203
15,357
16,356
22,144
23,140
24,142
25,141
26,143
27,139
37,478
42,13
43,12
44,217
45,216
52,527
61,265
62,285
63,284
64,248
67,249
68,247
70,242
71,244
72,240
73,241
74,243
75,421
77,422
79,423
83,531
89,518
95,394
96,395
97,393
99,392
100,393
105,514
106,400
107,399
109,99
110,98
111,457
113,456
114,458
115,359
117,154
118,153
121,481
124,480
126,71
127,70
130,6
131,5
132,4
133,3
134,432
137,529
141,461
142,193
143,195
144,196
145,460
149,329
151,330
152,328
154,418
155,419
159,278
165,43
166,504
167,505
169,464
172,347
176,521
177,522
178,34
179,33
180,35
181,198
183,197
190,353
191,351
194,60
195,60
196,352
197,350
199,66
200,67
201,313
202,503
204,465
205,32
206,31
209,319
212,463
213,462
214,406
217,417
221,363
222,371
224,369
225,368
226,367
227,370
228,372
229,10
230,9
234,445
238,475
239,474
240,317
241,276
244,407
250,110
251,111
252,108
254,267
255,443
257,519
259,488
261,486
262,485
263,487
264,380
265,379
269,315
272,483
273,477
274,499
281,325
282,324
284,22
285,23
289,411
291,237
293,414
295,474
296,78
297,77
298,378
300,437
301,365
305,169
306,170
307,390
308,389
309,230
310,227
311,229
312,226
313,440
314,441
315,385
316,494
317,434
319,63
323,454
324,471
325,469
326,468
327,50
328,49
330,177
331,164
332,146
333,145
336,36
337,326
338,116
342,272
344,2
345,1
352,484
360,90
363,51
365,8
366,7
370,180
371,91
374,88
378,344
381,69
382,68
383,509
389,298
393,214
395,210
396,211
398,354
402,281
403,280
405,296
406,295
407,219
408,220
410,415
411,416
412,473
413,15
414,17
419,308
421,222
422,291
423,292
425,126
426,127
427,343
434,61
435,62
436,86
438,94
439,95
444,259
446,355
447,506
451,84
452,85
453,83
454,184
456,388
457,387
460,489
462,311
464,383
465,239
466,238
467,47
468,148
469,162
470,161
471,467
472,158
474,224
475,223
483,426
484,28
485,27
486,26
489,29
490,56
493,431
495,305
496,138
504,448
511,496
512,455
514,107
515,377
516,408
518,257
521,186
523,523
524,178
525,179
527,358
528,201
529,72
531,172
532,173
533,124
534,123
535,501
536,384
539,402
541,262
546,511
1,218
2,447
4,256
9,128
14,119
17,245
18,338
19,337
20,526
21,412
28,532
29,366
30,446
31,58
32,409
33,459
34,364
35,275
36,147
38,102
39,14
40,360
41,42
46,207
47,45
48,435
49,64
50,528
51,113
53,470
54,472
55,199
56,155
57,118
58,530
59,188
60,109
65,236
66,87
69,39
76,293
78,212
80,149
81,304
82,106
84,246
85,386
86,439
87,74
88,428
90,181
91,318
92,310
93,333
94,194
98,268
101,133
102,11
103,300
104,322
108,286
112,449
116,117
119,213
120,97
122,425
123,425
125,254
128,269
129,508
135,190
136,320
138,105
139,65
140,314
146,316
147,122
148,81
150,48
153,130
156,381
157,277
160,312
161,498
162,44
163,112
164,233
168,444
170,137
171,209
173,208
175,323
184,59
185,132
186,433
187,299
188,436
189,429
192,453
193,271
198,129
203,450
207,515
208,430
210,175
211,405
215,176
216,228
218,307
219,80
220,163
223,279
231,391
232,525
233,136
235,335
236,294
237,282
242,92
243,327
245,202
246,261
247,339
248,266
249,231
253,375
256,340
258,341
260,451
266,438
267,442
268,533
270,131
271,382
275,103
276,160
277,104
278,331
279,274
280,101
283,21
286,38
287,40
288,41
290,159
292,76
294,282
299,185
302,495
303,479
304,100
318,151
320,424
321,303
322,125
329,345
334,37
335,362
339,306
341,273
343,221
346,120
347,510
348,520
349,301
350,500
351,401
353,114
354,251
355,115
356,297
357,376
358,52
359,89
361,490
362,283
364,24
367,420
368,82
369,398
372,183
373,250
376,361
377,253
379,452
380,512
385,492
386,134
387,493
388,342
390,309
391,258
392,215
394,16
397,270
399,513
400,491
401,410
404,96
409,346
415,427
416,225
417,287
418,234
420,20
424,413
428,19
429,18
430,75
431,157
432,332
433,174
437,235
440,182
441,260
442,55
443,200
445,53
448,135
449,156
450,93
455,232
458,152
461,348
463,46
473,134
476,252
477,476
478,507
479,30
480,516
481,263
482,466
487,517
488,502
491,349
492,403
494,373
497,374
498,150
499,482
500,192
501,302
502,121
503,191
505,397
506,25
507,57
508,396
509,336
510,54
513,321
517,73
520,187
522,290
526,79
530,334
537,264
538,404
540,171
542,255
543,189
544,497
545,289
547,288
