Bus,busmap
381,KR0 18
383,KR0 22
385,KR0 4
386,KR0 23
388,KR0 6
389,KR0 20
39,KR0 15
390,KR0 18
392,KR0 7
393,KR0 7
394,KR0 13
396,KR0 20
397,KR0 23
398,KR0 20
400,KR0 13
402,KR0 3
403,KR0 3
404,KR0 0
405,KR0 15
407,KR0 10
408,KR0 15
409,KR0 15
41,KR0 12
410,KR0 3
413,KR0 9
414,KR0 24
415,KR0 12
417,KR0 10
419,KR0 21
420,KR0 21
422,KR0 20
423,KR0 11
424,KR0 11
425,KR0 13
426,KR0 13
427,KR0 23
428,KR0 13
429,KR0 13
433,KR0 13
434,KR0 13
435,KR0 13
436,KR0 10
437,KR0 10
44,KR0 12
440,KR0 4
441,KR0 4
443,KR0 21
444,KR0 4
446,KR0 13
448,KR0 19
450,KR0 4
451,KR0 13
452,KR0 4
453,KR0 4
454,KR0 21
455,KR0 1
456,KR0 7
457,KR0 1
458,KR0 1
459,KR0 6
46,KR0 12
460,KR0 6
462,KR0 6
463,KR0 12
464,KR0 12
465,KR0 12
466,KR0 12
467,KR0 1
468,KR0 1
474,KR0 6
477,KR0 19
478,KR0 19
479,KR0 19
48,KR0 6
481,KR0 19
482,KR0 19
483,KR0 12
484,KR0 12
485,KR0 12
486,KR0 9
487,KR0 9
488,KR0 9
491,KR0 2
493,KR0 18
494,KR0 2
495,KR0 11
496,KR0 11
497,KR0 13
5,KR0 6
50,KR0 12
504,KR0 22
505,KR0 22
508,KR0 23
509,KR0 15
510,KR0 15
511,KR0 3
513,KR0 23
514,KR0 23
515,KR0 23
519,KR0 20
52,KR0 0
523,KR0 7
524,KR0 15
525,KR0 18
526,KR0 23
527,KR0 0
528,KR0 4
53,KR0 6
530,KR0 21
533,KR0 22
535,KR0 19
536,KR0 10
537,KR0 5
540,KR0 15
542,KR0 24
543,KR0 24
545,KR0 2
546,KR0 9
548,KR0 12
55,KR0 20
550,KR0 14
551,KR0 6
552,KR0 6
554,KR0 6
555,KR0 19
557,KR0 6
560,KR0 10
561,KR0 23
563,KR0 15
564,KR0 13
565,KR0 13
566,KR0 13
567,KR0 11
569,KR0 0
57,KR0 2
570,KR0 4
575,KR0 4
581,KR0 7
582,KR0 2
585,KR0 18
588,KR0 6
589,KR0 3
59,KR0 24
590,KR0 7
591,KR0 12
593,KR0 7
594,KR0 20
598,KR0 22
604,KR0 18
606,KR0 22
607,KR0 22
608,KR0 7
61,KR0 15
610,KR0 22
612,KR0 6
614,KR0 11
615,KR0 13
619,KR0 13
623,KR0 1
625,KR0 6
626,KR0 12
627,KR0 19
628,KR0 15
629,KR0 18
63,KR0 24
630,KR0 3
631,KR0 3
638,KR0 5
641,KR0 15
642,KR0 24
65,KR0 1
68,KR0 14
70,KR0 1
72,KR0 9
73,KR0 9
75,KR0 16
77,KR0 4
79,KR0 4
8,KR0 6
81,KR0 5
83,KR0 20
85,KR0 4
88,KR0 21
90,KR0 16
92,KR0 16
94,KR0 17
96,KR0 19
98,KR0 22
99,KR0 7
