Bus,busmap
1,KR0 14
101,KR0 13
103,KR0 2
105,KR0 18
108,KR0 11
110,KR0 22
112,KR0 3
114,KR0 0
116,KR0 17
118,KR0 17
12,KR0 14
120,KR0 10
121,KR0 4
124,KR0 16
128,KR0 9
130,KR0 5
132,KR0 10
134,KR0 9
136,KR0 12
137,KR0 3
140,KR0 20
142,KR0 12
144,KR0 15
146,KR0 20
148,KR0 4
15,KR0 14
150,KR0 20
152,KR0 6
154,KR0 6
156,KR0 5
158,KR0 16
159,KR0 19
163,KR0 1
168,KR0 5
170,KR0 4
172,KR0 0
174,KR0 9
176,KR0 16
177,KR0 12
178,KR0 7
18,KR0 2
180,KR0 20
181,KR0 20
183,KR0 4
184,KR0 20
185,KR0 20
186,KR0 20
188,KR0 4
189,KR0 10
190,KR0 10
192,KR0 6
195,KR0 6
196,KR0 6
197,KR0 14
198,KR0 2
199,KR0 7
201,KR0 21
202,KR0 11
203,KR0 4
205,KR0 4
207,KR0 14
208,KR0 20
21,KR0 22
210,KR0 11
213,KR0 4
22,KR0 22
224,KR0 12
226,KR0 12
227,KR0 12
228,KR0 12
229,KR0 7
230,KR0 7
232,KR0 16
233,KR0 16
234,KR0 0
235,KR0 21
237,KR0 15
239,KR0 12
24,KR0 7
241,KR0 14
242,KR0 12
244,KR0 6
246,KR0 12
248,KR0 24
249,KR0 1
250,KR0 1
254,KR0 9
255,KR0 21
257,KR0 9
259,KR0 7
260,KR0 20
261,KR0 9
262,KR0 9
266,KR0 16
267,KR0 0
27,KR0 0
271,KR0 7
272,KR0 4
273,KR0 20
274,KR0 0
275,KR0 0
277,KR0 16
278,KR0 0
280,KR0 7
281,KR0 10
283,KR0 16
285,KR0 16
286,KR0 10
287,KR0 13
289,KR0 10
290,KR0 12
291,KR0 12
292,KR0 6
293,KR0 11
294,KR0 0
295,KR0 23
296,KR0 22
297,KR0 0
298,KR0 12
299,KR0 1
3,KR0 21
30,KR0 0
300,KR0 12
301,KR0 12
302,KR0 1
305,KR0 13
307,KR0 10
310,KR0 2
311,KR0 11
312,KR0 4
313,KR0 20
314,KR0 0
32,KR0 16
322,KR0 6
323,KR0 14
326,KR0 24
327,KR0 1
328,KR0 1
329,KR0 1
330,KR0 8
332,KR0 19
333,KR0 18
334,KR0 18
335,KR0 2
336,KR0 2
337,KR0 6
338,KR0 1
34,KR0 7
340,KR0 23
341,KR0 23
342,KR0 23
343,KR0 2
344,KR0 23
345,KR0 23
346,KR0 12
347,KR0 2
348,KR0 18
349,KR0 15
352,KR0 5
353,KR0 14
354,KR0 1
355,KR0 23
356,KR0 10
357,KR0 1
359,KR0 0
36,KR0 16
360,KR0 9
362,KR0 21
364,KR0 21
366,KR0 9
369,KR0 14
37,KR0 15
370,KR0 2
371,KR0 18
372,KR0 23
373,KR0 18
374,KR0 18
375,KR0 11
376,KR0 16
377,KR0 23
378,KR0 6
380,KR0 12
