Bus,busmap
1,KR0 4
101,KR0 155
103,KR0 169
105,KR0 238
108,KR0 57
110,KR0 146
112,KR0 89
114,KR0 321
116,KR0 37
118,KR0 101
12,KR0 173
120,KR0 9
121,KR0 47
124,KR0 68
128,KR0 190
130,KR0 20
132,KR0 185
134,KR0 182
136,KR0 278
137,KR0 67
140,KR0 305
142,KR0 355
144,KR0 338
146,KR0 26
148,KR0 259
15,KR0 352
150,KR0 263
152,KR0 134
154,KR0 300
156,KR0 24
158,KR0 150
159,KR0 63
163,KR0 323
168,KR0 123
170,KR0 5
172,KR0 1
174,KR0 284
176,KR0 55
177,KR0 304
178,KR0 166
18,KR0 302
180,KR0 224
181,KR0 184
183,KR0 276
184,KR0 254
185,KR0 25
186,KR0 197
188,KR0 90
189,KR0 80
190,KR0 112
192,KR0 345
195,KR0 307
196,KR0 234
197,KR0 262
198,KR0 70
199,KR0 358
201,KR0 11
202,KR0 229
203,KR0 167
205,KR0 217
207,KR0 295
208,KR0 84
21,KR0 235
210,KR0 324
213,KR0 119
22,KR0 235
224,KR0 121
226,KR0 213
227,KR0 344
228,KR0 309
229,KR0 109
230,KR0 58
232,KR0 218
233,KR0 306
234,KR0 266
235,KR0 246
237,KR0 275
239,KR0 242
24,KR0 244
241,KR0 100
242,KR0 82
244,KR0 293
246,KR0 316
248,KR0 215
249,KR0 196
250,KR0 267
254,KR0 274
255,KR0 77
257,KR0 137
259,KR0 7
260,KR0 191
261,KR0 291
262,KR0 356
266,KR0 330
267,KR0 249
27,KR0 98
271,KR0 198
272,KR0 214
273,KR0 327
274,KR0 319
275,KR0 337
277,KR0 49
278,KR0 320
280,KR0 222
281,KR0 105
283,KR0 140
285,KR0 23
286,KR0 340
287,KR0 27
289,KR0 180
290,KR0 272
291,KR0 316
292,KR0 125
293,KR0 248
294,KR0 288
295,KR0 243
296,KR0 40
297,KR0 195
298,KR0 156
299,KR0 257
3,KR0 178
30,KR0 289
300,KR0 253
301,KR0 334
302,KR0 83
305,KR0 286
307,KR0 120
310,KR0 78
311,KR0 3
312,KR0 311
313,KR0 114
314,KR0 95
32,KR0 159
322,KR0 154
323,KR0 285
326,KR0 147
327,KR0 48
328,KR0 110
329,KR0 223
330,KR0 14
332,KR0 75
333,KR0 81
334,KR0 194
335,KR0 0
336,KR0 220
337,KR0 92
338,KR0 62
34,KR0 353
340,KR0 329
341,KR0 264
342,KR0 308
343,KR0 279
344,KR0 139
345,KR0 13
346,KR0 59
347,KR0 115
348,KR0 10
349,KR0 61
352,KR0 290
353,KR0 160
354,KR0 130
355,KR0 202
356,KR0 129
357,KR0 28
359,KR0 232
36,KR0 6
360,KR0 122
362,KR0 35
364,KR0 79
366,KR0 8
369,KR0 207
37,KR0 326
370,KR0 94
371,KR0 172
372,KR0 294
373,KR0 170
374,KR0 36
375,KR0 236
376,KR0 72
377,KR0 91
378,KR0 199
380,KR0 204
381,KR0 174
383,KR0 273
385,KR0 312
386,KR0 102
388,KR0 73
389,KR0 314
39,KR0 211
390,KR0 175
392,KR0 203
393,KR0 43
394,KR0 142
396,KR0 231
397,KR0 205
