Bus,busmap
398,KR0 315
400,KR0 76
402,KR0 12
403,KR0 128
404,KR0 71
405,KR0 227
407,KR0 53
408,KR0 132
409,KR0 18
41,KR0 258
410,KR0 21
413,KR0 74
414,KR0 189
415,KR0 216
417,KR0 237
419,KR0 346
420,KR0 46
422,KR0 25
423,KR0 193
424,KR0 42
425,KR0 127
426,KR0 151
427,KR0 162
428,KR0 226
429,KR0 255
433,KR0 328
434,KR0 343
435,KR0 15
436,KR0 138
437,KR0 268
44,KR0 331
440,KR0 212
441,KR0 250
443,KR0 181
444,KR0 113
446,KR0 148
448,KR0 153
450,KR0 310
451,KR0 152
452,KR0 192
453,KR0 349
454,KR0 35
455,KR0 28
456,KR0 176
457,KR0 221
458,KR0 240
459,KR0 39
46,KR0 41
460,KR0 350
462,KR0 280
463,KR0 107
464,KR0 56
465,KR0 298
466,KR0 108
467,KR0 117
468,KR0 208
474,KR0 342
477,KR0 50
478,KR0 283
479,KR0 210
48,KR0 145
481,KR0 32
482,KR0 171
483,KR0 133
484,KR0 341
485,KR0 2
486,KR0 45
487,KR0 325
488,KR0 29
491,KR0 296
493,KR0 313
494,KR0 209
495,KR0 85
496,KR0 118
497,KR0 54
5,KR0 357
50,KR0 354
504,KR0 335
505,KR0 233
508,KR0 186
509,KR0 30
510,KR0 97
511,KR0 136
513,KR0 247
514,KR0 332
515,KR0 269
519,KR0 317
52,KR0 96
523,KR0 292
524,KR0 188
525,KR0 183
526,KR0 38
527,KR0 163
528,KR0 359
53,KR0 318
530,KR0 333
533,KR0 16
535,KR0 75
536,KR0 179
537,KR0 164
540,KR0 219
542,KR0 239
543,KR0 52
545,KR0 200
546,KR0 168
548,KR0 341
55,KR0 124
550,KR0 22
551,KR0 260
552,KR0 297
554,KR0 347
555,KR0 245
557,KR0 31
560,KR0 303
561,KR0 103
563,KR0 277
564,KR0 158
565,KR0 206
566,KR0 15
567,KR0 270
569,KR0 33
57,KR0 141
570,KR0 167
575,KR0 34
581,KR0 282
582,KR0 60
585,KR0 65
588,KR0 17
589,KR0 251
59,KR0 44
590,KR0 93
591,KR0 116
593,KR0 86
594,KR0 287
598,KR0 322
604,KR0 348
606,KR0 66
607,KR0 177
608,KR0 271
61,KR0 126
610,KR0 252
612,KR0 99
614,KR0 131
615,KR0 256
619,KR0 64
623,KR0 241
625,KR0 228
626,KR0 149
627,KR0 265
628,KR0 261
629,KR0 106
63,KR0 19
630,KR0 161
631,KR0 69
638,KR0 299
641,KR0 188
642,KR0 157
65,KR0 339
68,KR0 88
70,KR0 187
72,KR0 230
73,KR0 165
75,KR0 351
77,KR0 336
79,KR0 201
8,KR0 234
81,KR0 51
83,KR0 281
85,KR0 87
88,KR0 144
90,KR0 135
92,KR0 225
94,KR0 111
96,KR0 301
98,KR0 143
99,KR0 104
