Bus,busmap
1,KR0 24
101,KR0 30
103,KR0 54
105,KR0 82
108,KR0 59
110,KR0 89
112,KR0 29
114,KR0 46
116,KR0 26
118,KR0 26
12,KR0 4
120,KR0 13
121,KR0 8
124,KR0 25
128,KR0 40
130,KR0 35
132,KR0 61
134,KR0 68
136,KR0 52
137,KR0 44
140,KR0 43
142,KR0 87
144,KR0 49
146,KR0 28
148,KR0 85
15,KR0 4
150,KR0 58
152,KR0 15
154,KR0 15
156,KR0 57
158,KR0 61
159,KR0 41
163,KR0 38
168,KR0 6
170,KR0 19
172,KR0 37
174,KR0 73
176,KR0 32
177,KR0 9
178,KR0 28
18,KR0 70
180,KR0 43
181,KR0 43
183,KR0 47
184,KR0 58
185,KR0 58
186,KR0 58
188,KR0 80
189,KR0 97
190,KR0 75
192,KR0 15
195,KR0 42
196,KR0 84
197,KR0 84
198,KR0 70
199,KR0 28
201,KR0 5
202,KR0 92
203,KR0 58
205,KR0 85
207,KR0 88
208,KR0 10
21,KR0 33
210,KR0 92
213,KR0 85
22,KR0 33
224,KR0 60
226,KR0 9
227,KR0 60
228,KR0 52
229,KR0 78
230,KR0 28
232,KR0 64
233,KR0 64
234,KR0 37
235,KR0 5
237,KR0 98
239,KR0 83
24,KR0 90
241,KR0 84
242,KR0 9
244,KR0 42
246,KR0 81
248,KR0 27
249,KR0 87
250,KR0 38
254,KR0 40
255,KR0 86
257,KR0 12
259,KR0 78
260,KR0 28
261,KR0 12
262,KR0 40
266,KR0 64
267,KR0 37
27,KR0 69
271,KR0 90
272,KR0 47
273,KR0 58
274,KR0 37
275,KR0 1
277,KR0 1
278,KR0 37
280,KR0 66
281,KR0 50
283,KR0 99
285,KR0 61
286,KR0 50
287,KR0 30
289,KR0 75
290,KR0 83
291,KR0 81
292,KR0 51
293,KR0 92
294,KR0 46
295,KR0 91
296,KR0 89
297,KR0 1
298,KR0 87
299,KR0 38
3,KR0 86
30,KR0 69
300,KR0 60
301,KR0 60
302,KR0 87
305,KR0 30
307,KR0 50
310,KR0 3
311,KR0 92
312,KR0 8
313,KR0 43
314,KR0 8
32,KR0 37
322,KR0 51
323,KR0 84
326,KR0 63
327,KR0 2
328,KR0 2
329,KR0 38
330,KR0 11
332,KR0 56
333,KR0 79
334,KR0 79
335,KR0 48
336,KR0 48
337,KR0 15
338,KR0 38
34,KR0 66
340,KR0 91
341,KR0 91
342,KR0 55
343,KR0 54
344,KR0 55
345,KR0 55
346,KR0 83
347,KR0 54
348,KR0 16
349,KR0 45
352,KR0 35
353,KR0 88
354,KR0 31
355,KR0 22
356,KR0 61
357,KR0 31
359,KR0 8
36,KR0 25
360,KR0 73
362,KR0 85
364,KR0 34
366,KR0 40
369,KR0 88
37,KR0 17
370,KR0 54
371,KR0 82
372,KR0 65
373,KR0 77
374,KR0 82
375,KR0 59
376,KR0 64
377,KR0 0
378,KR0 51
380,KR0 81
381,KR0 16
383,KR0 18
385,KR0 8
386,KR0 65
388,KR0 74
389,KR0 58
39,KR0 17
390,KR0 71
392,KR0 98
393,KR0 36
394,KR0 30
396,KR0 10
397,KR0 55
398,KR0 10
400,KR0 21
402,KR0 14
403,KR0 95
404,KR0 69
405,KR0 49
407,KR0 50
408,KR0 45
409,KR0 49
41,KR0 9
410,KR0 44
413,KR0 68
414,KR0 68
415,KR0 60
417,KR0 50
419,KR0 47
420,KR0 47
422,KR0 58
423,KR0 92
424,KR0 67
425,KR0 53
426,KR0 67
427,KR0 65
428,KR0 21
429,KR0 94
433,KR0 30
434,KR0 53
435,KR0 94
436,KR0 13
437,KR0 75
44,KR0 83
440,KR0 80
441,KR0 62
443,KR0 34
444,KR0 62
446,KR0 22
448,KR0 76
450,KR0 19
451,KR0 30
452,KR0 19
453,KR0 19
454,KR0 85
455,KR0 31
456,KR0 36
457,KR0 2
458,KR0 31
459,KR0 51
46,KR0 60
460,KR0 15
462,KR0 15
463,KR0 23
464,KR0 52
465,KR0 23
466,KR0 60
467,KR0 68
468,KR0 38
474,KR0 42
477,KR0 76
478,KR0 56
479,KR0 76
48,KR0 42
481,KR0 93
482,KR0 41
483,KR0 41
484,KR0 52
485,KR0 81
486,KR0 12
487,KR0 12
488,KR0 73
491,KR0 96
493,KR0 77
494,KR0 54
495,KR0 7
496,KR0 7
497,KR0 53
5,KR0 15
50,KR0 52
504,KR0 33
505,KR0 18
508,KR0 91
509,KR0 17
510,KR0 98
511,KR0 29
513,KR0 0
514,KR0 0
515,KR0 0
519,KR0 43
52,KR0 69
523,KR0 28
524,KR0 17
525,KR0 16
526,KR0 91
527,KR0 46
528,KR0 58
53,KR0 51
530,KR0 34
533,KR0 33
535,KR0 56
536,KR0 97
537,KR0 6
540,KR0 98
542,KR0 20
543,KR0 63
545,KR0 48
546,KR0 40
548,KR0 52
55,KR0 10
550,KR0 4
551,KR0 15
552,KR0 15
554,KR0 51
555,KR0 93
557,KR0 15
560,KR0 50
561,KR0 55
563,KR0 45
564,KR0 21
565,KR0 30
566,KR0 94
567,KR0 59
569,KR0 46
57,KR0 96
570,KR0 8
575,KR0 62
581,KR0 28
582,KR0 96
585,KR0 71
588,KR0 42
589,KR0 95
59,KR0 27
590,KR0 90
591,KR0 52
593,KR0 28
594,KR0 10
598,KR0 89
604,KR0 16
606,KR0 33
607,KR0 74
608,KR0 36
61,KR0 45
610,KR0 33
612,KR0 72
614,KR0 67
615,KR0 94
619,KR0 22
623,KR0 68
625,KR0 15
626,KR0 52
627,KR0 76
628,KR0 45
629,KR0 77
63,KR0 20
630,KR0 18
631,KR0 18
638,KR0 6
641,KR0 17
642,KR0 20
65,KR0 38
68,KR0 88
70,KR0 31
72,KR0 12
73,KR0 12
75,KR0 64
77,KR0 62
79,KR0 58
8,KR0 84
81,KR0 39
83,KR0 43
85,KR0 58
88,KR0 47
90,KR0 1
92,KR0 1
94,KR0 99
96,KR0 14
98,KR0 18
99,KR0 66
