Bus,busmap
1,KR0 5
101,KR0 29
103,KR0 2
105,KR0 54
108,KR0 42
110,KR0 23
112,KR0 8
114,KR0 14
116,KR0 17
118,KR0 17
12,KR0 20
120,KR0 16
121,KR0 27
124,KR0 48
128,KR0 10
130,KR0 9
132,KR0 38
134,KR0 46
136,KR0 33
137,KR0 8
140,KR0 26
142,KR0 36
144,KR0 13
146,KR0 6
148,KR0 45
15,KR0 20
150,KR0 53
152,KR0 12
154,KR0 12
156,KR0 9
158,KR0 0
159,KR0 22
163,KR0 24
168,KR0 9
170,KR0 3
172,KR0 34
174,KR0 31
176,KR0 0
177,KR0 36
178,KR0 6
18,KR0 52
180,KR0 26
181,KR0 26
183,KR0 39
184,KR0 53
185,KR0 53
186,KR0 53
188,KR0 3
189,KR0 16
190,KR0 16
192,KR0 12
195,KR0 44
196,KR0 44
197,KR0 44
198,KR0 52
199,KR0 6
201,KR0 19
202,KR0 23
203,KR0 53
205,KR0 45
207,KR0 5
208,KR0 26
21,KR0 15
210,KR0 23
213,KR0 45
22,KR0 15
224,KR0 36
226,KR0 1
227,KR0 36
228,KR0 33
229,KR0 40
230,KR0 6
232,KR0 37
233,KR0 37
234,KR0 34
235,KR0 19
237,KR0 43
239,KR0 41
24,KR0 40
241,KR0 44
242,KR0 36
244,KR0 44
246,KR0 1
248,KR0 32
249,KR0 24
250,KR0 24
254,KR0 10
255,KR0 39
257,KR0 31
259,KR0 40
260,KR0 6
261,KR0 31
262,KR0 10
266,KR0 37
267,KR0 34
27,KR0 34
271,KR0 40
272,KR0 39
273,KR0 53
274,KR0 34
275,KR0 0
277,KR0 0
278,KR0 34
280,KR0 28
281,KR0 38
283,KR0 48
285,KR0 0
286,KR0 38
287,KR0 29
289,KR0 16
290,KR0 41
291,KR0 1
292,KR0 41
293,KR0 23
294,KR0 14
295,KR0 49
296,KR0 15
297,KR0 34
298,KR0 36
299,KR0 24
3,KR0 39
30,KR0 27
300,KR0 36
301,KR0 36
302,KR0 24
305,KR0 29
307,KR0 38
310,KR0 2
311,KR0 23
312,KR0 27
313,KR0 26
314,KR0 27
32,KR0 34
322,KR0 41
323,KR0 20
326,KR0 32
327,KR0 46
328,KR0 24
329,KR0 46
330,KR0 11
332,KR0 55
333,KR0 54
334,KR0 54
335,KR0 52
336,KR0 52
337,KR0 12
338,KR0 24
34,KR0 28
340,KR0 49
341,KR0 49
342,KR0 49
343,KR0 2
344,KR0 49
345,KR0 26
346,KR0 41
347,KR0 2
348,KR0 35
349,KR0 43
352,KR0 9
353,KR0 5
354,KR0 5
355,KR0 47
356,KR0 0
357,KR0 24
359,KR0 27
36,KR0 37
360,KR0 31
362,KR0 45
364,KR0 45
366,KR0 10
369,KR0 20
37,KR0 13
370,KR0 54
371,KR0 54
372,KR0 21
373,KR0 35
374,KR0 54
375,KR0 42
376,KR0 37
377,KR0 49
378,KR0 44
380,KR0 1
381,KR0 18
383,KR0 51
385,KR0 27
386,KR0 21
388,KR0 50
389,KR0 53
39,KR0 13
390,KR0 18
392,KR0 28
393,KR0 28
394,KR0 29
396,KR0 26
397,KR0 49
398,KR0 6
400,KR0 25
402,KR0 22
403,KR0 51
404,KR0 27
405,KR0 13
407,KR0 38
408,KR0 43
409,KR0 13
41,KR0 41
410,KR0 8
413,KR0 46
414,KR0 46
415,KR0 36
417,KR0 38
419,KR0 39
420,KR0 39
422,KR0 53
423,KR0 23
424,KR0 4
425,KR0 25
426,KR0 25
427,KR0 21
428,KR0 25
429,KR0 25
433,KR0 29
434,KR0 25
435,KR0 25
436,KR0 16
437,KR0 16
44,KR0 41
440,KR0 3
441,KR0 30
443,KR0 45
444,KR0 30
446,KR0 47
448,KR0 22
450,KR0 3
451,KR0 29
452,KR0 3
453,KR0 3
454,KR0 45
455,KR0 24
456,KR0 40
457,KR0 46
458,KR0 24
459,KR0 41
46,KR0 36
460,KR0 12
462,KR0 12
463,KR0 33
464,KR0 33
465,KR0 33
466,KR0 36
467,KR0 46
468,KR0 46
474,KR0 44
477,KR0 22
478,KR0 55
479,KR0 22
48,KR0 44
481,KR0 55
482,KR0 22
483,KR0 1
484,KR0 33
485,KR0 1
486,KR0 31
487,KR0 31
488,KR0 31
491,KR0 2
493,KR0 35
494,KR0 2
495,KR0 23
496,KR0 4
497,KR0 21
5,KR0 12
