Bus,busmap
50,KR0 33
504,KR0 15
505,KR0 51
508,KR0 49
509,KR0 13
510,KR0 28
511,KR0 8
513,KR0 49
514,KR0 49
515,KR0 49
519,KR0 26
52,KR0 27
523,KR0 6
524,KR0 43
525,KR0 35
526,KR0 49
527,KR0 14
528,KR0 53
53,KR0 41
530,KR0 45
533,KR0 15
535,KR0 55
536,KR0 16
537,KR0 48
540,KR0 28
542,KR0 7
543,KR0 7
545,KR0 52
546,KR0 10
548,KR0 33
55,KR0 6
550,KR0 20
551,KR0 12
552,KR0 12
554,KR0 41
555,KR0 55
557,KR0 12
560,KR0 38
561,KR0 26
563,KR0 43
564,KR0 25
565,KR0 29
566,KR0 25
567,KR0 42
569,KR0 14
57,KR0 2
570,KR0 27
575,KR0 27
581,KR0 6
582,KR0 2
585,KR0 18
588,KR0 44
589,KR0 22
59,KR0 32
590,KR0 40
591,KR0 33
593,KR0 6
594,KR0 6
598,KR0 15
604,KR0 18
606,KR0 15
607,KR0 50
608,KR0 40
61,KR0 43
610,KR0 15
612,KR0 41
614,KR0 4
615,KR0 25
619,KR0 47
623,KR0 46
625,KR0 12
626,KR0 33
627,KR0 22
628,KR0 43
629,KR0 35
63,KR0 7
630,KR0 51
631,KR0 51
638,KR0 48
641,KR0 43
642,KR0 7
65,KR0 24
68,KR0 5
70,KR0 24
72,KR0 31
73,KR0 31
75,KR0 37
77,KR0 27
79,KR0 53
8,KR0 44
81,KR0 30
83,KR0 26
85,KR0 53
88,KR0 39
90,KR0 0
92,KR0 0
94,KR0 48
96,KR0 22
98,KR0 51
99,KR0 28
