Line,name
23,34
24,34
29,27
30,27
31,28
32,27
36,37
41,1
42,2
43,1
48,24
62,1
83,26
86,13
88,13
90,7
98,31
99,31
148,35
153,12
156,14
172,30
180,31
189,13
220,6
227,10
238,6
246,22
253,11
262,18
266,17
267,17
268,18
276,19
282,15
283,15
292,6
306,8
310,32
312,31
313,36
333,22
338,9
381,21
414,37
416,29
428,13
436,26
440,26
453,39
460,6
461,6
481,8
489,8
497,5
501,21
502,21
505,35
537,22
544,18
545,18
5,24
6,37
8,19
9,33
10,23
18,20
22,26
35,17
38,17
46,30
59,1
64,16
68,16
69,16
125,38
154,31
159,36
184,31
185,31
197,26
206,3
230,30
240,21
242,38
248,12
260,1
263,1
270,31
288,16
296,6
309,12
331,6
332,4
364,23
374,16
377,38
379,1
392,23
412,36
422,15
443,22
449,39
455,24
468,37
472,19
476,38
527,8
534,21
535,18
538,25
542,38
546,1
