Line,name
8,21
9,22
18,34
22,46
27,46
34,4
36,1
38,2
40,31
46,24
48,10
59,30
64,11
68,11
69,12
77,17
78,17
90,16
94,43
95,43
96,43
107,42
108,42
132,2
133,2
146,38
153,40
180,44
197,46
215,2
220,19
230,24
238,19
254,43
260,30
262,29
263,30
272,42
274,2
275,2
280,2
286,28
287,28
288,12
292,19
304,2
309,45
312,44
374,11
378,5
379,30
411,46
417,42
420,27
428,41
443,50
449,13
460,19
461,19
472,21
481,18
489,18
534,38
544,29
545,29
546,30
4,7
5,10
6,1
10,32
23,14
24,14
29,48
30,48
31,15
32,48
33,35
42,12
62,30
70,9
72,9
73,9
74,9
86,3
97,44
100,44
101,44
120,17
148,25
149,3
151,3
154,44
172,24
181,42
185,44
194,44
195,44
206,20
211,2
227,49
246,50
248,40
253,37
255,50
270,44
276,21
282,27
296,19
306,6
310,26
324,5
331,19
338,33
360,41
364,32
381,39
392,32
412,5
414,23
416,47
423,27
435,35
436,46
441,50
442,8
453,13
454,23
455,10
501,39
502,39
505,25
514,35
517,43
520,4
535,29
536,35
538,36
541,8
