Bus,busmap
359,KR0 4
36,KR0 12
360,KR0 13
362,KR0 18
364,KR0 18
366,KR0 13
369,KR0 5
37,KR0 8
370,KR0 2
371,KR0 14
372,KR0 3
373,KR0 14
374,KR0 14
375,KR0 9
376,KR0 12
377,KR0 3
378,KR0 17
380,KR0 1
381,KR0 14
383,KR0 19
385,KR0 4
386,KR0 3
388,KR0 17
389,KR0 4
39,KR0 8
390,KR0 14
392,KR0 8
393,KR0 11
394,KR0 6
396,KR0 11
397,KR0 3
398,KR0 11
400,KR0 6
402,KR0 16
403,KR0 16
404,KR0 4
405,KR0 8
407,KR0 15
408,KR0 8
409,KR0 8
41,KR0 1
410,KR0 16
413,KR0 7
414,KR0 7
415,KR0 1
417,KR0 15
419,KR0 18
420,KR0 18
422,KR0 4
423,KR0 9
424,KR0 9
425,KR0 6
426,KR0 6
427,KR0 3
428,KR0 6
429,KR0 6
433,KR0 6
434,KR0 6
435,KR0 6
436,KR0 15
437,KR0 15
44,KR0 1
440,KR0 4
441,KR0 4
443,KR0 18
444,KR0 4
446,KR0 6
448,KR0 16
450,KR0 4
451,KR0 6
452,KR0 4
453,KR0 4
454,KR0 18
455,KR0 7
456,KR0 11
457,KR0 7
458,KR0 7
459,KR0 17
46,KR0 1
460,KR0 17
462,KR0 17
463,KR0 1
464,KR0 1
465,KR0 1
466,KR0 1
467,KR0 7
468,KR0 7
474,KR0 17
477,KR0 16
478,KR0 16
479,KR0 16
48,KR0 17
481,KR0 1
482,KR0 1
483,KR0 1
484,KR0 1
485,KR0 1
486,KR0 13
487,KR0 13
488,KR0 13
491,KR0 2
493,KR0 14
494,KR0 2
495,KR0 9
496,KR0 9
497,KR0 6
5,KR0 17
50,KR0 1
504,KR0 19
505,KR0 19
508,KR0 3
509,KR0 8
510,KR0 8
511,KR0 16
513,KR0 3
514,KR0 3
515,KR0 3
519,KR0 3
52,KR0 3
523,KR0 11
524,KR0 8
525,KR0 14
526,KR0 3
527,KR0 3
528,KR0 4
53,KR0 17
530,KR0 18
533,KR0 19
535,KR0 16
536,KR0 15
537,KR0 0
540,KR0 8
542,KR0 7
543,KR0 1
545,KR0 2
546,KR0 13
548,KR0 1
55,KR0 11
550,KR0 5
551,KR0 17
552,KR0 17
554,KR0 17
555,KR0 16
557,KR0 17
560,KR0 15
561,KR0 3
563,KR0 8
564,KR0 6
565,KR0 6
566,KR0 6
567,KR0 9
569,KR0 3
57,KR0 2
570,KR0 4
575,KR0 4
581,KR0 11
582,KR0 2
585,KR0 14
588,KR0 17
589,KR0 16
59,KR0 13
590,KR0 11
591,KR0 1
593,KR0 11
594,KR0 11
598,KR0 19
604,KR0 14
606,KR0 19
607,KR0 19
608,KR0 11
61,KR0 8
610,KR0 19
612,KR0 17
614,KR0 9
615,KR0 6
619,KR0 3
623,KR0 7
625,KR0 17
626,KR0 1
627,KR0 16
628,KR0 8
629,KR0 14
63,KR0 7
630,KR0 19
631,KR0 19
638,KR0 0
641,KR0 8
642,KR0 7
65,KR0 7
68,KR0 5
70,KR0 5
72,KR0 13
73,KR0 13
75,KR0 12
77,KR0 4
79,KR0 4
8,KR0 17
81,KR0 0
83,KR0 3
85,KR0 4
88,KR0 18
90,KR0 12
92,KR0 12
94,KR0 12
96,KR0 16
98,KR0 19
99,KR0 8
