Bus,busmap
1,KR0 5
101,KR0 6
103,KR0 2
105,KR0 14
108,KR0 9
110,KR0 19
112,KR0 16
114,KR0 3
116,KR0 0
118,KR0 0
12,KR0 5
120,KR0 15
121,KR0 4
124,KR0 12
128,KR0 13
130,KR0 0
132,KR0 15
134,KR0 7
136,KR0 1
137,KR0 16
140,KR0 11
142,KR0 1
144,KR0 8
146,KR0 11
148,KR0 18
15,KR0 5
150,KR0 4
152,KR0 17
154,KR0 17
156,KR0 0
158,KR0 12
159,KR0 1
163,KR0 7
168,KR0 0
170,KR0 4
172,KR0 12
174,KR0 13
176,KR0 12
177,KR0 1
178,KR0 11
18,KR0 2
180,KR0 3
181,KR0 11
183,KR0 4
184,KR0 11
185,KR0 4
186,KR0 4
188,KR0 4
189,KR0 15
190,KR0 15
192,KR0 17
195,KR0 17
196,KR0 17
197,KR0 5
198,KR0 2
199,KR0 11
201,KR0 18
202,KR0 9
203,KR0 4
205,KR0 4
207,KR0 5
208,KR0 11
21,KR0 19
210,KR0 9
213,KR0 18
22,KR0 19
224,KR0 1
226,KR0 1
227,KR0 1
228,KR0 1
229,KR0 11
230,KR0 11
232,KR0 12
233,KR0 12
234,KR0 12
235,KR0 18
237,KR0 8
239,KR0 1
24,KR0 11
241,KR0 5
242,KR0 1
244,KR0 17
246,KR0 1
248,KR0 2
249,KR0 7
250,KR0 7
254,KR0 13
255,KR0 18
257,KR0 13
259,KR0 11
260,KR0 11
261,KR0 13
262,KR0 13
266,KR0 12
267,KR0 12
27,KR0 12
271,KR0 11
272,KR0 4
273,KR0 4
274,KR0 12
275,KR0 12
277,KR0 12
278,KR0 12
280,KR0 11
281,KR0 15
283,KR0 12
285,KR0 12
286,KR0 15
287,KR0 6
289,KR0 15
290,KR0 1
291,KR0 1
292,KR0 17
293,KR0 9
294,KR0 3
295,KR0 3
296,KR0 19
297,KR0 12
298,KR0 1
299,KR0 7
3,KR0 18
30,KR0 3
300,KR0 1
301,KR0 1
302,KR0 7
305,KR0 6
307,KR0 15
310,KR0 2
311,KR0 9
312,KR0 4
313,KR0 3
314,KR0 4
32,KR0 12
322,KR0 17
323,KR0 5
326,KR0 13
327,KR0 7
328,KR0 7
329,KR0 7
330,KR0 10
332,KR0 16
333,KR0 14
334,KR0 14
335,KR0 2
336,KR0 2
337,KR0 17
338,KR0 7
34,KR0 11
340,KR0 3
341,KR0 3
342,KR0 3
343,KR0 2
344,KR0 3
345,KR0 3
346,KR0 1
347,KR0 2
348,KR0 14
349,KR0 8
352,KR0 0
353,KR0 5
354,KR0 5
355,KR0 3
356,KR0 15
357,KR0 7
