Bus,busmap
1,KR0 4
101,KR0 198
103,KR0 47
105,KR0 8
108,KR0 18
110,KR0 130
112,KR0 85
114,KR0 193
116,KR0 29
118,KR0 99
12,KR0 258
120,KR0 57
121,KR0 39
124,KR0 123
128,KR0 196
130,KR0 27
132,KR0 230
134,KR0 97
136,KR0 266
137,KR0 68
140,KR0 269
142,KR0 187
144,KR0 217
146,KR0 115
148,KR0 273
15,KR0 31
150,KR0 58
152,KR0 203
154,KR0 200
156,KR0 52
158,KR0 23
159,KR0 78
163,KR0 281
168,KR0 188
170,KR0 5
172,KR0 148
174,KR0 192
176,KR0 84
177,KR0 289
178,KR0 195
18,KR0 70
180,KR0 250
181,KR0 178
183,KR0 279
184,KR0 256
185,KR0 252
186,KR0 151
188,KR0 106
189,KR0 53
190,KR0 142
192,KR0 19
195,KR0 127
196,KR0 244
197,KR0 26
198,KR0 293
199,KR0 60
201,KR0 41
202,KR0 44
203,KR0 211
205,KR0 94
207,KR0 160
208,KR0 232
21,KR0 255
210,KR0 105
213,KR0 238
22,KR0 255
224,KR0 28
226,KR0 191
227,KR0 180
228,KR0 1
229,KR0 114
230,KR0 124
232,KR0 34
233,KR0 251
234,KR0 224
235,KR0 283
237,KR0 48
239,KR0 199
24,KR0 190
241,KR0 277
242,KR0 299
244,KR0 83
246,KR0 66
248,KR0 214
249,KR0 36
250,KR0 212
254,KR0 280
255,KR0 102
257,KR0 2
259,KR0 17
260,KR0 183
261,KR0 228
262,KR0 226
266,KR0 100
267,KR0 247
27,KR0 108
271,KR0 40
272,KR0 181
273,KR0 58
274,KR0 62
275,KR0 205
277,KR0 205
278,KR0 62
280,KR0 229
281,KR0 103
283,KR0 158
285,KR0 171
286,KR0 103
287,KR0 7
289,KR0 113
290,KR0 263
291,KR0 239
292,KR0 177
293,KR0 237
294,KR0 262
295,KR0 93
296,KR0 101
297,KR0 193
298,KR0 187
299,KR0 267
3,KR0 167
30,KR0 189
300,KR0 75
301,KR0 75
302,KR0 152
305,KR0 132
307,KR0 149
310,KR0 153
311,KR0 105
312,KR0 223
313,KR0 43
314,KR0 147
32,KR0 224
322,KR0 10
323,KR0 107
326,KR0 32
327,KR0 260
328,KR0 154
329,KR0 264
330,KR0 12
332,KR0 215
333,KR0 80
334,KR0 182
335,KR0 225
336,KR0 21
337,KR0 186
338,KR0 67
34,KR0 229
340,KR0 179
341,KR0 288
342,KR0 221
343,KR0 140
344,KR0 72
345,KR0 169
346,KR0 74
347,KR0 287
348,KR0 91
349,KR0 42
352,KR0 271
353,KR0 268
354,KR0 64
355,KR0 172
356,KR0 92
357,KR0 95
359,KR0 147
36,KR0 122
360,KR0 82
362,KR0 38
364,KR0 90
366,KR0 35
369,KR0 202
37,KR0 121
370,KR0 163
371,KR0 112
372,KR0 126
373,KR0 50
374,KR0 231
375,KR0 241
376,KR0 100
377,KR0 3
378,KR0 168
380,KR0 239
381,KR0 161
383,KR0 278
385,KR0 282
386,KR0 126
388,KR0 59
389,KR0 211
39,KR0 284
390,KR0 30
392,KR0 111
393,KR0 164
394,KR0 7
396,KR0 257
397,KR0 285
398,KR0 116
400,KR0 227
402,KR0 294
403,KR0 175
404,KR0 25
405,KR0 217
407,KR0 13
408,KR0 138
409,KR0 24
41,KR0 141
410,KR0 16
413,KR0 213
414,KR0 146
415,KR0 272
417,KR0 297
419,KR0 14
420,KR0 14
422,KR0 252
423,KR0 248
424,KR0 165
425,KR0 33
426,KR0 65
427,KR0 245
428,KR0 49
429,KR0 265
433,KR0 132
434,KR0 33
435,KR0 87
436,KR0 136
437,KR0 113
44,KR0 263
440,KR0 81
441,KR0 246
443,KR0 206
444,KR0 96
446,KR0 139
448,KR0 144
450,KR0 166
451,KR0 201
452,KR0 233
453,KR0 5
454,KR0 38
455,KR0 95
456,KR0 61
457,KR0 76
458,KR0 276
459,KR0 219
46,KR0 180
460,KR0 19
462,KR0 253
463,KR0 291
464,KR0 194
465,KR0 86
466,KR0 243
467,KR0 197
468,KR0 209
474,KR0 127
477,KR0 77
478,KR0 137
479,KR0 20
48,KR0 83
481,KR0 242
482,KR0 133
483,KR0 145
484,KR0 55
485,KR0 66
486,KR0 2
487,KR0 196
488,KR0 162
491,KR0 156
493,KR0 157
494,KR0 218
495,KR0 71
496,KR0 125
497,KR0 88
5,KR0 104
50,KR0 184
504,KR0 37
505,KR0 9
508,KR0 235
509,KR0 295
510,KR0 220
511,KR0 155
513,KR0 298
514,KR0 3
515,KR0 208
519,KR0 43
52,KR0 189
523,KR0 275
524,KR0 176
525,KR0 216
526,KR0 179
527,KR0 135
528,KR0 166
53,KR0 177
530,KR0 90
533,KR0 134
535,KR0 215
536,KR0 210
537,KR0 0
540,KR0 207
542,KR0 118
543,KR0 110
545,KR0 98
546,KR0 204
548,KR0 194
55,KR0 116
550,KR0 31
551,KR0 254
552,KR0 186
554,KR0 10
555,KR0 63
557,KR0 19
560,KR0 249
561,KR0 129
563,KR0 42
564,KR0 170
565,KR0 120
566,KR0 87
567,KR0 274
569,KR0 11
57,KR0 69
570,KR0 211
575,KR0 286
581,KR0 124
582,KR0 156
585,KR0 173
588,KR0 127
589,KR0 56
59,KR0 54
590,KR0 190
591,KR0 184
593,KR0 60
594,KR0 22
598,KR0 101
604,KR0 161
606,KR0 37
607,KR0 73
608,KR0 290
61,KR0 261
610,KR0 234
612,KR0 128
614,KR0 119
615,KR0 236
619,KR0 51
623,KR0 15
625,KR0 104
626,KR0 55
627,KR0 259
628,KR0 240
629,KR0 157
63,KR0 45
630,KR0 143
631,KR0 150
638,KR0 270
641,KR0 176
642,KR0 159
65,KR0 67
68,KR0 89
70,KR0 174
72,KR0 226
73,KR0 296
75,KR0 251
77,KR0 81
79,KR0 131
8,KR0 244
81,KR0 46
83,KR0 269
85,KR0 166
88,KR0 117
90,KR0 109
92,KR0 222
94,KR0 79
96,KR0 185
98,KR0 292
99,KR0 6
