Line,name
1,60
5,61
6,62
10,45
23,43
24,43
29,11
30,11
31,12
32,11
33,9
34,66
41,52
42,53
43,52
62,3
86,58
90,6
91,7
98,55
99,55
116,32
120,23
127,2
137,32
146,46
148,44
149,58
151,58
156,58
171,37
180,16
186,60
187,60
209,33
210,31
224,72
225,72
226,72
232,7
243,38
246,29
255,28
267,67
276,30
287,32
305,40
309,17
310,14
312,18
330,65
338,13
349,38
362,7
364,45
370,60
373,21
380,73
381,25
392,45
414,19
416,35
420,48
424,70
436,10
444,59
448,15
455,51
461,8
479,69
481,69
491,37
501,25
502,25
505,44
512,47
514,9
531,49
534,46
537,71
538,4
545,75
547,64
4,39
8,30
9,42
18,26
20,50
22,10
27,10
36,20
37,20
38,31
40,1
48,61
52,64
56,32
64,34
66,34
68,34
69,74
70,38
74,38
77,23
78,23
105,60
107,64
114,5
133,31
140,7
142,72
153,54
154,16
159,58
197,22
206,68
211,65
227,70
238,36
249,17
253,24
259,73
260,73
262,63
266,20
270,55
272,64
280,31
282,48
288,74
304,31
313,67
318,49
325,75
326,64
359,56
394,21
402,5
411,10
429,56
434,9
443,27
464,63
467,63
472,30
517,57
520,21
523,64
526,47
541,41
544,63
