Line,name
4,42
6,60
9,59
10,61
29,25
30,25
31,24
32,25
33,26
34,35
38,34
48,13
56,43
62,10
64,12
66,12
68,12
69,11
70,19
72,19
73,19
74,19
77,55
78,55
83,27
86,4
87,2
97,15
100,15
105,6
107,1
108,1
127,10
130,48
149,4
151,4
153,1
154,15
161,16
194,15
195,15
205,29
206,31
210,43
211,44
253,39
262,44
264,36
265,34
272,1
282,38
283,38
288,11
304,34
306,54
310,51
338,28
362,22
364,61
371,42
372,35
373,35
381,56
392,61
414,53
416,50
417,1
423,30
427,2
428,3
436,27
443,20
446,11
449,45
462,16
464,44
467,44
474,29
490,19
501,56
502,56
514,26
526,30
538,23
541,19
544,44
1,6
5,13
8,47
18,57
22,27
23,46
24,46
27,27
40,9
52,16
57,40
90,8
114,21
116,41
120,55
136,43
137,43
146,33
148,52
171,7
180,15
181,4
183,16
186,6
187,6
197,58
201,22
215,48
227,29
231,22
238,49
242,42
246,20
248,37
255,32
266,36
279,34
287,41
290,47
309,37
312,15
330,43
360,3
386,15
402,21
425,47
434,26
448,15
453,45
454,35
455,13
461,5
473,15
481,18
489,18
491,7
505,52
513,30
520,35
529,2
534,33
535,44
537,17
545,14
547,16
