Line,name
1,9
4,8
8,65
9,64
10,45
18,105
20,94
22,15
25,17
26,17
27,17
29,38
30,34
32,38
33,35
34,97
35,96
38,96
42,95
45,57
46,57
48,18
49,19
50,19
52,1
56,83
58,82
60,79
61,79
62,30
64,102
75,86
77,85
83,36
102,57
114,22
120,71
127,28
133,69
154,77
159,76
186,9
187,9
193,16
197,62
198,63
206,14
221,91
223,10
224,10
225,10
226,10
227,11
246,78
247,79
249,77
253,13
258,79
266,68
269,49
279,69
280,69
282,54
303,63
318,66
330,70
333,67
337,26
342,32
362,91
364,46
371,8
373,97
388,79
419,60
434,73
438,60
439,60
440,36
451,41
453,40
454,39
461,90
471,49
472,65
505,43
507,15
514,37
517,55
528,79
534,42
535,6
547,4
5,18
6,2
15,32
17,32
19,16
40,29
41,80
43,80
65,19
66,100
68,100
69,81
70,26
71,88
74,26
78,71
85,76
86,7
90,58
98,48
99,48
101,48
105,9
107,49
116,83
118,101
136,103
137,103
138,101
146,92
147,44
148,99
149,7
151,7
153,50
161,1
175,44
180,77
182,4
185,48
200,86
210,70
211,70
218,60
229,57
234,23
235,23
236,86
238,24
239,86
242,8
248,53
255,93
262,6
263,84
267,3
268,3
276,65
287,83
288,81
295,86
306,27
309,56
310,61
312,77
338,31
339,74
359,104
365,33
372,39
381,105
386,48
390,60
396,33
402,90
403,23
410,63
415,21
420,52
422,12
429,104
431,98
436,63
443,78
445,86
448,51
455,20
462,1
464,5
467,5
473,48
480,86
481,89
489,89
490,25
496,23
501,47
502,47
520,97
524,59
527,67
531,66
537,87
538,72
541,25
544,6
545,75
546,84
