Bus,busmap
1,KR0 27
101,KR0 28
103,KR0 2
105,KR0 22
108,KR0 4
110,KR0 19
112,KR0 10
114,KR0 3
116,KR0 23
118,KR0 23
12,KR0 5
120,KR0 6
121,KR0 9
124,KR0 33
128,KR0 15
130,KR0 0
132,KR0 6
134,KR0 26
136,KR0 30
137,KR0 10
140,KR0 25
142,KR0 1
144,KR0 20
146,KR0 7
148,KR0 24
15,KR0 5
150,KR0 9
152,KR0 17
154,KR0 17
156,KR0 0
158,KR0 16
159,KR0 14
163,KR0 18
168,KR0 0
170,KR0 29
172,KR0 3
174,KR0 15
176,KR0 16
177,KR0 30
178,KR0 7
18,KR0 2
180,KR0 25
181,KR0 25
183,KR0 29
184,KR0 25
185,KR0 9
186,KR0 9
188,KR0 29
189,KR0 6
190,KR0 6
192,KR0 17
195,KR0 17
196,KR0 5
197,KR0 5
198,KR0 2
199,KR0 7
201,KR0 12
202,KR0 4
203,KR0 9
205,KR0 24
207,KR0 27
208,KR0 25
21,KR0 19
210,KR0 4
213,KR0 24
22,KR0 19
224,KR0 30
226,KR0 1
227,KR0 30
228,KR0 30
229,KR0 32
230,KR0 7
232,KR0 16
233,KR0 34
234,KR0 3
235,KR0 12
237,KR0 20
239,KR0 1
24,KR0 32
241,KR0 5
242,KR0 1
244,KR0 17
246,KR0 30
248,KR0 31
249,KR0 18
250,KR0 18
254,KR0 15
255,KR0 7
257,KR0 15
259,KR0 32
260,KR0 7
261,KR0 15
262,KR0 15
266,KR0 34
267,KR0 3
27,KR0 3
271,KR0 32
272,KR0 29
273,KR0 9
274,KR0 3
275,KR0 16
277,KR0 16
278,KR0 3
280,KR0 7
281,KR0 6
283,KR0 33
285,KR0 16
286,KR0 6
287,KR0 28
289,KR0 6
290,KR0 1
291,KR0 30
292,KR0 1
293,KR0 4
294,KR0 13
295,KR0 35
296,KR0 19
297,KR0 3
298,KR0 18
299,KR0 18
3,KR0 12
30,KR0 9
300,KR0 30
301,KR0 30
302,KR0 18
305,KR0 28
307,KR0 6
310,KR0 2
311,KR0 4
312,KR0 9
313,KR0 25
314,KR0 9
32,KR0 3
322,KR0 1
323,KR0 5
326,KR0 8
327,KR0 26
328,KR0 26
329,KR0 26
330,KR0 11
332,KR0 14
333,KR0 22
334,KR0 22
335,KR0 2
336,KR0 2
337,KR0 17
338,KR0 18
34,KR0 7
340,KR0 35
341,KR0 35
342,KR0 35
343,KR0 2
344,KR0 35
345,KR0 25
346,KR0 1
347,KR0 2
348,KR0 22
349,KR0 20
352,KR0 0
353,KR0 27
354,KR0 18
355,KR0 13
