Bus,busmap
356,KR0 16
357,KR0 18
359,KR0 9
36,KR0 33
360,KR0 15
362,KR0 24
364,KR0 24
366,KR0 15
369,KR0 5
37,KR0 20
370,KR0 2
371,KR0 22
372,KR0 35
373,KR0 22
374,KR0 22
375,KR0 4
376,KR0 34
377,KR0 35
378,KR0 17
380,KR0 30
381,KR0 22
383,KR0 19
385,KR0 9
386,KR0 13
388,KR0 17
389,KR0 9
39,KR0 20
390,KR0 22
392,KR0 31
393,KR0 31
394,KR0 28
396,KR0 25
397,KR0 35
398,KR0 25
400,KR0 21
402,KR0 14
403,KR0 10
404,KR0 3
405,KR0 20
407,KR0 6
408,KR0 20
409,KR0 20
41,KR0 1
410,KR0 10
413,KR0 26
414,KR0 26
415,KR0 30
417,KR0 6
419,KR0 12
420,KR0 12
422,KR0 9
423,KR0 4
424,KR0 21
425,KR0 21
426,KR0 21
427,KR0 13
428,KR0 21
429,KR0 21
433,KR0 28
434,KR0 21
435,KR0 21
436,KR0 6
437,KR0 6
44,KR0 1
440,KR0 29
441,KR0 34
443,KR0 24
444,KR0 34
446,KR0 13
448,KR0 14
450,KR0 29
451,KR0 28
452,KR0 29
453,KR0 29
454,KR0 24
455,KR0 18
456,KR0 32
457,KR0 26
458,KR0 18
459,KR0 1
46,KR0 30
460,KR0 17
462,KR0 17
463,KR0 30
464,KR0 30
465,KR0 30
466,KR0 8
467,KR0 26
468,KR0 26
474,KR0 17
477,KR0 14
478,KR0 14
479,KR0 14
48,KR0 17
481,KR0 14
482,KR0 14
483,KR0 30
484,KR0 30
485,KR0 30
486,KR0 15
487,KR0 15
488,KR0 15
491,KR0 2
493,KR0 22
494,KR0 2
495,KR0 4
496,KR0 4
497,KR0 21
5,KR0 17
50,KR0 30
504,KR0 19
505,KR0 19
508,KR0 35
509,KR0 20
510,KR0 31
511,KR0 10
513,KR0 35
514,KR0 35
515,KR0 35
519,KR0 25
52,KR0 9
523,KR0 7
524,KR0 20
525,KR0 22
526,KR0 35
527,KR0 13
528,KR0 9
53,KR0 1
530,KR0 24
533,KR0 19
535,KR0 14
536,KR0 6
537,KR0 33
540,KR0 31
542,KR0 8
543,KR0 8
545,KR0 2
546,KR0 15
548,KR0 30
55,KR0 25
550,KR0 5
551,KR0 17
552,KR0 17
554,KR0 1
555,KR0 14
557,KR0 17
560,KR0 6
561,KR0 25
563,KR0 20
564,KR0 21
565,KR0 28
566,KR0 21
567,KR0 4
569,KR0 13
57,KR0 2
570,KR0 9
575,KR0 34
581,KR0 7
582,KR0 2
585,KR0 22
588,KR0 5
589,KR0 14
59,KR0 31
590,KR0 32
591,KR0 30
593,KR0 7
594,KR0 25
598,KR0 19
604,KR0 22
606,KR0 19
607,KR0 19
608,KR0 32
61,KR0 20
610,KR0 19
612,KR0 1
614,KR0 21
615,KR0 21
619,KR0 13
623,KR0 26
625,KR0 17
626,KR0 30
627,KR0 14
628,KR0 20
629,KR0 22
63,KR0 8
630,KR0 10
631,KR0 10
638,KR0 33
641,KR0 20
642,KR0 8
65,KR0 18
68,KR0 27
70,KR0 18
72,KR0 15
73,KR0 15
75,KR0 34
77,KR0 29
79,KR0 9
8,KR0 5
81,KR0 34
83,KR0 25
85,KR0 29
88,KR0 24
90,KR0 16
92,KR0 16
94,KR0 33
96,KR0 14
98,KR0 19
99,KR0 7
