Bus,busmap
1,KR0 1
101,KR0 26
103,KR0 2
105,KR0 50
108,KR0 38
110,KR0 11
112,KR0 17
114,KR0 40
116,KR0 4
118,KR0 4
12,KR0 22
120,KR0 12
121,KR0 0
124,KR0 32
128,KR0 31
130,KR0 15
132,KR0 45
134,KR0 53
136,KR0 34
137,KR0 17
140,KR0 49
142,KR0 9
144,KR0 24
146,KR0 21
148,KR0 28
15,KR0 22
150,KR0 30
152,KR0 13
154,KR0 13
156,KR0 15
158,KR0 8
159,KR0 3
163,KR0 14
168,KR0 15
170,KR0 20
172,KR0 29
174,KR0 7
176,KR0 8
177,KR0 9
178,KR0 21
18,KR0 48
180,KR0 49
181,KR0 49
183,KR0 30
184,KR0 30
185,KR0 30
186,KR0 30
188,KR0 20
189,KR0 12
190,KR0 12
192,KR0 13
195,KR0 43
196,KR0 43
197,KR0 43
198,KR0 48
199,KR0 21
201,KR0 6
202,KR0 11
203,KR0 30
205,KR0 28
207,KR0 1
208,KR0 49
21,KR0 25
210,KR0 11
213,KR0 28
22,KR0 25
224,KR0 9
226,KR0 9
227,KR0 9
228,KR0 34
229,KR0 10
230,KR0 21
232,KR0 47
233,KR0 47
234,KR0 29
235,KR0 6
237,KR0 42
239,KR0 36
24,KR0 10
241,KR0 43
242,KR0 9
244,KR0 43
246,KR0 9
248,KR0 37
249,KR0 14
250,KR0 14
254,KR0 31
255,KR0 30
257,KR0 7
259,KR0 10
260,KR0 21
261,KR0 7
262,KR0 31
266,KR0 47
267,KR0 29
27,KR0 29
271,KR0 21
272,KR0 20
273,KR0 30
274,KR0 29
275,KR0 44
277,KR0 44
278,KR0 29
280,KR0 21
281,KR0 45
283,KR0 32
285,KR0 8
286,KR0 45
287,KR0 26
289,KR0 12
290,KR0 36
291,KR0 9
292,KR0 36
293,KR0 11
294,KR0 40
295,KR0 5
296,KR0 25
297,KR0 44
298,KR0 9
299,KR0 14
3,KR0 6
30,KR0 0
300,KR0 9
301,KR0 9
302,KR0 14
305,KR0 26
307,KR0 45
310,KR0 2
311,KR0 11
312,KR0 0
313,KR0 49
314,KR0 0
32,KR0 29
322,KR0 36
323,KR0 22
326,KR0 27
327,KR0 53
328,KR0 53
329,KR0 14
330,KR0 18
332,KR0 46
333,KR0 16
334,KR0 16
335,KR0 2
336,KR0 2
337,KR0 13
338,KR0 14
34,KR0 21
340,KR0 5
341,KR0 5
342,KR0 5
343,KR0 2
344,KR0 5
345,KR0 49
346,KR0 36
347,KR0 2
348,KR0 52
349,KR0 42
352,KR0 15
353,KR0 22
354,KR0 1
355,KR0 40
356,KR0 44
357,KR0 14
359,KR0 0
36,KR0 47
360,KR0 7
362,KR0 28
364,KR0 28
366,KR0 31
369,KR0 22
37,KR0 42
370,KR0 50
371,KR0 50
372,KR0 19
373,KR0 52
374,KR0 50
375,KR0 38
376,KR0 47
377,KR0 5
378,KR0 43
380,KR0 34
381,KR0 16
383,KR0 39
385,KR0 0
386,KR0 19
388,KR0 23
389,KR0 30
39,KR0 24
390,KR0 16
392,KR0 42
393,KR0 10
394,KR0 26
396,KR0 49
397,KR0 5
398,KR0 49
400,KR0 51
402,KR0 3
403,KR0 39
404,KR0 0
405,KR0 24
407,KR0 45
408,KR0 24
409,KR0 24
41,KR0 9
410,KR0 17
413,KR0 35
414,KR0 35
415,KR0 9
417,KR0 45
419,KR0 6
420,KR0 6
422,KR0 30
423,KR0 38
424,KR0 41
425,KR0 19
426,KR0 41
427,KR0 19
428,KR0 51
429,KR0 51
433,KR0 26
434,KR0 51
435,KR0 51
436,KR0 12
437,KR0 12
44,KR0 36
440,KR0 20
441,KR0 33
443,KR0 28
444,KR0 33
446,KR0 40
448,KR0 3
450,KR0 20
451,KR0 26
452,KR0 20
453,KR0 20
454,KR0 28
455,KR0 14
456,KR0 10
457,KR0 53
458,KR0 14
459,KR0 36
46,KR0 9
460,KR0 13
462,KR0 13
463,KR0 34
464,KR0 34
465,KR0 34
466,KR0 9
467,KR0 35
468,KR0 14
474,KR0 43
477,KR0 3
478,KR0 46
479,KR0 3
48,KR0 43
481,KR0 46
482,KR0 3
483,KR0 34
484,KR0 34
485,KR0 9
486,KR0 7
487,KR0 7
488,KR0 7
491,KR0 2
493,KR0 52
494,KR0 2
495,KR0 11
496,KR0 17
497,KR0 19
5,KR0 13
50,KR0 34
504,KR0 25
505,KR0 39
508,KR0 5
509,KR0 42
510,KR0 42
511,KR0 17
513,KR0 5
514,KR0 5
515,KR0 5
519,KR0 49
52,KR0 0
523,KR0 21
524,KR0 42
525,KR0 16
526,KR0 5
527,KR0 40
528,KR0 30
53,KR0 36
530,KR0 28
533,KR0 25
535,KR0 46
536,KR0 12
537,KR0 32
540,KR0 42
542,KR0 35
543,KR0 27
545,KR0 2
546,KR0 31
548,KR0 34
55,KR0 49
550,KR0 22
551,KR0 13
552,KR0 13
554,KR0 36
555,KR0 46
557,KR0 13
560,KR0 45
561,KR0 49
563,KR0 42
564,KR0 51
565,KR0 26
566,KR0 51
567,KR0 38
569,KR0 40
57,KR0 2
570,KR0 0
575,KR0 0
581,KR0 21
582,KR0 2
585,KR0 16
588,KR0 43
589,KR0 3
59,KR0 37
590,KR0 10
591,KR0 34
593,KR0 21
594,KR0 49
598,KR0 39
604,KR0 16
606,KR0 25
607,KR0 23
608,KR0 10
61,KR0 42
610,KR0 25
612,KR0 36
614,KR0 41
615,KR0 51
619,KR0 40
623,KR0 53
625,KR0 13
626,KR0 34
627,KR0 3
628,KR0 42
629,KR0 52
63,KR0 35
630,KR0 39
631,KR0 39
638,KR0 47
641,KR0 42
642,KR0 35
65,KR0 14
68,KR0 1
70,KR0 14
72,KR0 7
73,KR0 7
75,KR0 47
77,KR0 0
79,KR0 30
8,KR0 43
81,KR0 33
83,KR0 49
85,KR0 30
88,KR0 20
90,KR0 44
92,KR0 44
94,KR0 32
96,KR0 3
98,KR0 39
99,KR0 21
