,bus_id,station_id,voltage,dc,symbol,under_construction,tag_substation,tag_area,lon,lat,country,geometry,substation_lv
405,405,278,154000,False,substation,False,transmission,0.0,126.6912,35.9621,KR,POINT (126.6912 35.9621),True
406,406,279,154000,False,substation,False,transmission,0.0,127.0815,37.8851,KR,POINT (127.0815 37.8851),True
407,407,279,345000,False,substation,False,transmission,0.0,127.0825,37.8861,KR,POINT (127.0825 37.8861),False
408,408,280,154000,False,substation,False,transmission,0.0,126.7307,35.7024,KR,POINT (126.7307 35.7024),True
409,409,281,154000,False,substation,False,transmission,0.0,126.7499,35.9835,KR,POINT (126.7499 35.9835),True
410,410,282,154000,False,substation,False,transmission,0.0,128.6172,37.1898,KR,POINT (128.6172 37.1898),True
411,411,283,154000,False,substation,False,transmission,0.0,126.622,37.5025,KR,POINT (126.622 37.5025),True
412,412,284,345000,False,substation,False,transmission,0.0,127.7064,35.9682,KR,POINT (127.7064 35.9682),True
413,413,285,154000,False,substation,False,transmission,0.0,128.0708,35.055,KR,POINT (128.0708 35.055),True
414,414,286,154000,False,substation,False,transmission,0.0,128.1246,35.1738,KR,POINT (128.1246 35.1738),True
415,415,287,345000,False,substation,False,transmission,0.0,128.2975,35.8229,KR,POINT (128.2975 35.8229),True
416,416,288,154000,False,substation,False,transmission,0.0,126.9559,37.9095,KR,POINT (126.9559 37.9095),True
417,417,288,345000,False,substation,False,transmission,0.0,126.9569,37.9105,KR,POINT (126.9569 37.9105),False
418,418,289,154000,False,substation,False,transmission,0.0,126.9296,38.0159,KR,POINT (126.9296 38.0159),True
419,419,290,154000,False,substation,False,transmission,0.0,126.6365,36.5765,KR,POINT (126.6365 36.5765),True
420,420,291,154000,False,substation,False,transmission,0.0,126.6615,36.6243,KR,POINT (126.6615 36.6243),True
421,421,292,154000,False,substation,False,transmission,0.0,126.6012,36.3098,KR,POINT (126.6012 36.3098),True
422,422,293,154000,False,substation,False,transmission,0.0,127.1044,36.7355,KR,POINT (127.1044 36.7355),True
423,423,294,154000,False,substation,False,transmission,0.0,128.7919,37.8818,KR,POINT (128.7919 37.8818),True
424,424,295,154000,False,substation,False,transmission,0.0,128.1764,38.1031,KR,POINT (128.1764 38.1031),True
425,425,296,154000,False,substation,False,transmission,0.0,127.8714,37.6742,KR,POINT (127.8714 37.6742),True
426,426,297,154000,False,substation,False,transmission,0.0,128.0104,38.0605,KR,POINT (128.0104 38.0605),True
427,427,298,154000,False,substation,False,transmission,0.0,127.7879,37.2913,KR,POINT (127.7879 37.2913),True
428,428,299,154000,False,substation,False,transmission,0.0,127.6391,38.1299,KR,POINT (127.6391 38.1299),True
429,429,300,154000,False,substation,False,transmission,0.0,127.8033,37.8758,KR,POINT (127.8033 37.8758),True
430,430,301,154000,False,substation,False,transmission,0.0,127.8114,37.944,KR,POINT (127.8114 37.944),True
431,431,302,154000,False,substation,False,transmission,0.0,127.558,37.6876,KR,POINT (127.558 37.6876),True
432,432,302,345000,False,substation,False,transmission,0.0,127.559,37.6886,KR,POINT (127.559 37.6886),False
433,433,302,354000,False,substation,False,transmission,0.0,127.56,37.6896,KR,POINT (127.56 37.6896),False
434,434,303,154000,False,substation,False,transmission,0.0,127.8675,37.7289,KR,POINT (127.8675 37.7289),True
435,435,304,154000,False,substation,False,transmission,0.0,127.7312,37.822,KR,POINT (127.7312 37.822),True
436,436,305,154000,False,substation,False,transmission,0.0,127.0941,38.0244,KR,POINT (127.0941 38.0244),True
437,437,306,154000,False,substation,False,transmission,0.0,127.2725,37.8444,KR,POINT (127.2725 37.8444),True
438,438,307,154000,False,substation,False,transmission,0.0,127.0047,37.1955,KR,POINT (127.0047 37.1955),True
439,439,308,154000,False,substation,False,transmission,0.0,126.8604,37.0887,KR,POINT (126.8604 37.0887),True
440,440,308,345000,False,substation,False,transmission,0.0,126.8614,37.0897,KR,POINT (126.8614 37.0897),False
441,441,309,154000,False,substation,False,transmission,0.0,126.7289,37.22,KR,POINT (126.7289 37.22),True
442,442,310,154000,False,substation,False,transmission,0.0,126.2869,36.7423,KR,POINT (126.2869 36.7423),True
443,443,311,154000,False,substation,False,transmission,0.0,126.2903,36.7893,KR,POINT (126.2903 36.7893),True
444,444,312,154000,False,substation,False,transmission,0.0,126.8232,37.2327,KR,POINT (126.8232 37.2327),True
445,445,313,154000,False,substation,False,transmission,0.0,126.3969,37.709,KR,POINT (126.3969 37.709),True
446,446,314,154000,False,substation,False,transmission,0.0,127.5145,37.4977,KR,POINT (127.5145 37.4977),True
447,447,315,154000,False,substation,False,transmission,0.0,129.0864,36.5364,KR,POINT (129.0864 36.5364),True
448,448,316,154000,False,substation,False,transmission,0.0,128.7531,36.5796,KR,POINT (128.7531 36.5796),True
449,449,317,154000,False,substation,False,transmission,0.0,128.8808,36.538,KR,POINT (128.8808 36.538),True
450,450,318,154000,False,substation,False,transmission,0.0,126.8774,36.8392,KR,POINT (126.8774 36.8392),True
451,451,319,154000,False,substation,False,transmission,0.0,127.3475,37.6331,KR,POINT (127.3475 37.6331),True
452,452,320,154000,False,substation,False,transmission,0.0,126.6999,36.8987,KR,POINT (126.6999 36.8987),True
453,453,321,345000,False,substation,False,transmission,0.0,126.7217,36.9752,KR,POINT (126.7217 36.9752),True
454,454,322,154000,False,substation,False,transmission,0.0,126.4532,36.8031,KR,POINT (126.4532 36.8031),True
455,455,323,154000,False,substation,False,transmission,0.0,128.7067,35.2272,KR,POINT (128.7067 35.2272),True
456,456,324,154000,False,substation,False,transmission,0.0,127.5125,36.1136,KR,POINT (127.5125 36.1136),True
457,457,325,154000,False,substation,False,transmission,0.0,128.4328,34.8627,KR,POINT (128.4328 34.8627),True
458,458,326,154000,False,substation,False,transmission,0.0,128.766,35.1216,KR,POINT (128.766 35.1216),True
459,459,327,154000,False,substation,False,transmission,0.0,129.0353,35.8921,KR,POINT (129.0353 35.8921),True
460,460,328,154000,False,substation,False,transmission,0.0,129.3474,36.0529,KR,POINT (129.3474 36.0529),True
461,461,329,154000,False,substation,False,transmission,0.0,126.7795,36.1884,KR,POINT (126.7795 36.1884),True
462,462,330,154000,False,substation,False,transmission,0.0,129.287,36.1608,KR,POINT (129.287 36.1608),True
463,463,331,154000,False,substation,False,transmission,0.0,128.1356,36.134,KR,POINT (128.1356 36.134),True
464,464,332,154000,False,substation,False,transmission,0.0,128.3111,36.0543,KR,POINT (128.3111 36.0543),True
465,465,333,154000,False,substation,False,transmission,0.0,128.0972,36.0803,KR,POINT (128.0972 36.0803),True
466,466,334,154000,False,substation,False,transmission,0.0,128.2485,35.6638,KR,POINT (128.2485 35.6638),True
467,467,335,154000,False,substation,False,transmission,0.0,128.2702,35.1939,KR,POINT (128.2702 35.1939),True
468,468,336,154000,False,substation,False,transmission,0.0,128.3775,35.2649,KR,POINT (128.3775 35.2649),True
469,469,337,154000,False,substation,False,transmission,0.0,128.3422,35.2974,KR,POINT (128.3422 35.2974),True
470,470,338,154000,False,substation,False,transmission,0.0,126.7116,36.0327,KR,POINT (126.7116 36.0327),True
471,471,339,154000,False,substation,False,transmission,0.0,126.9465,36.2969,KR,POINT (126.9465 36.2969),True
472,472,340,154000,False,substation,False,transmission,0.0,129.2806,35.7158,KR,POINT (129.2806 35.7158),True
473,473,340,345000,False,substation,False,transmission,0.0,129.2816,35.7168,KR,POINT (129.2816 35.7168),False
474,474,340,354000,False,substation,False,transmission,0.0,129.2826,35.7178,KR,POINT (129.2826 35.7178),False
475,475,341,154000,False,substation,False,transmission,0.0,128.7605,35.8013,KR,POINT (128.7605 35.8013),True
476,476,342,154000,False,substation,False,transmission,0.0,128.5443,36.5952,KR,POINT (128.5443 36.5952),True
477,477,342,345000,False,substation,False,transmission,0.0,128.5453,36.5962,KR,POINT (128.5453 36.5962),False
478,478,343,154000,False,substation,False,transmission,0.0,128.1711,36.603,KR,POINT (128.1711 36.603),True
479,479,344,154000,False,substation,False,transmission,0.0,128.4342,36.649,KR,POINT (128.4342 36.649),True
480,480,345,154000,False,substation,False,transmission,0.0,128.1459,36.6896,KR,POINT (128.1459 36.6896),True
481,481,346,154000,False,substation,False,transmission,0.0,128.2185,36.3576,KR,POINT (128.2185 36.3576),True
482,482,347,154000,False,substation,False,transmission,0.0,128.4848,36.3692,KR,POINT (128.4848 36.3692),True
483,483,348,154000,False,substation,False,transmission,0.0,128.5802,36.1853,KR,POINT (128.5802 36.1853),True
484,484,349,154000,False,substation,False,transmission,0.0,128.3753,36.1243,KR,POINT (128.3753 36.1243),True
485,485,350,154000,False,substation,False,transmission,0.0,128.5822,35.9468,KR,POINT (128.5822 35.9468),True
486,486,351,154000,False,substation,False,transmission,0.0,127.568,34.8506,KR,POINT (127.568 34.8506),True
487,487,352,154000,False,substation,False,transmission,0.0,127.661,34.809,KR,POINT (127.661 34.809),True
488,488,353,154000,False,substation,False,transmission,0.0,127.2598,35.0437,KR,POINT (127.2598 35.0437),True
489,489,354,154000,False,substation,False,transmission,0.0,127.2291,35.3256,KR,POINT (127.2291 35.3256),True
490,490,355,154000,False,substation,False,transmission,0.0,127.4585,35.1952,KR,POINT (127.4585 35.1952),True
491,491,356,154000,False,substation,False,transmission,0.0,127.0187,35.3538,KR,POINT (127.0187 35.3538),True
492,492,357,154000,False,substation,False,transmission,0.0,126.3906,34.7421,KR,POINT (126.3906 34.7421),True
493,493,358,154000,False,substation,False,transmission,0.0,126.5114,35.0061,KR,POINT (126.5114 35.0061),True
494,494,359,154000,False,substation,False,transmission,0.0,127.043,35.0327,KR,POINT (127.043 35.0327),True
495,495,360,154000,False,substation,False,transmission,0.0,128.6808,37.6724,KR,POINT (128.6808 37.6724),True
496,496,361,154000,False,substation,False,transmission,0.0,128.4354,37.5601,KR,POINT (128.4354 37.5601),True
497,497,362,154000,False,substation,False,transmission,0.0,127.8977,37.5254,KR,POINT (127.8977 37.5254),True
498,498,363,154000,False,substation,False,transmission,0.0,128.0309,37.4945,KR,POINT (128.0309 37.4945),True
499,499,364,154000,False,substation,False,transmission,0.0,127.6395,36.0077,KR,POINT (127.6395 36.0077),True
500,500,365,154000,False,substation,False,transmission,0.0,127.1159,35.7545,KR,POINT (127.1159 35.7545),True
501,501,366,154000,False,substation,False,transmission,0.0,127.3027,35.6256,KR,POINT (127.3027 35.6256),True
502,502,367,154000,False,substation,False,transmission,0.0,126.7187,35.4551,KR,POINT (126.7187 35.4551),True
503,503,368,154000,False,substation,False,transmission,0.0,129.3352,37.1871,KR,POINT (129.3352 37.1871),True
504,504,368,345000,False,substation,False,transmission,0.0,129.3362,37.1881,KR,POINT (129.3362 37.1881),False
505,505,369,154000,False,substation,False,transmission,0.0,129.0322,37.2185,KR,POINT (129.0322 37.2185),True
506,506,370,154000,False,substation,False,transmission,0.0,128.7385,37.348,KR,POINT (128.7385 37.348),True
507,507,371,154000,False,substation,False,transmission,0.0,128.8394,37.2187,KR,POINT (128.8394 37.2187),True
508,508,372,154000,False,substation,False,transmission,0.0,127.6901,37.1293,KR,POINT (127.6901 37.1293),True
509,509,373,154000,False,substation,False,transmission,0.0,127.0006,35.9564,KR,POINT (127.0006 35.9564),True
510,510,374,154000,False,substation,False,transmission,0.0,127.1364,35.9518,KR,POINT (127.1364 35.9518),True
511,511,375,154000,False,substation,False,transmission,0.0,128.3324,36.9963,KR,POINT (128.3324 36.9963),True
512,512,376,154000,False,substation,False,transmission,0.0,127.5801,36.9803,KR,POINT (127.5801 36.9803),True
513,513,377,154000,False,substation,False,transmission,0.0,127.9234,36.9271,KR,POINT (127.9234 36.9271),True
514,514,378,154000,False,substation,False,transmission,0.0,127.9215,36.9999,KR,POINT (127.9215 36.9999),True
515,515,379,154000,False,substation,False,transmission,0.0,127.9821,37.1055,KR,POINT (127.9821 37.1055),True
516,516,380,154000,False,substation,False,transmission,0.0,127.4545,36.659,KR,POINT (127.4545 36.659),True
517,517,381,154000,False,substation,False,transmission,0.0,127.7277,36.428,KR,POINT (127.7277 36.428),True
518,518,382,154000,False,substation,False,transmission,0.0,127.3863,37.0746,KR,POINT (127.3863 37.0746),True
519,519,383,154000,False,substation,False,transmission,0.0,127.4946,36.9141,KR,POINT (127.4946 36.9141),True
520,520,384,154000,False,substation,False,transmission,0.0,128.2782,37.0849,KR,POINT (128.2782 37.0849),True
521,521,385,154000,False,substation,False,transmission,0.0,127.967,36.8488,KR,POINT (127.967 36.8488),True
522,522,386,154000,False,substation,False,transmission,0.0,127.4446,36.456,KR,POINT (127.4446 36.456),True
523,523,386,345000,False,substation,False,transmission,0.0,127.4456,36.457,KR,POINT (127.4456 36.457),False
524,524,387,154000,False,substation,False,transmission,0.0,126.9237,35.7996,KR,POINT (126.9237 35.7996),True
525,525,388,154000,False,substation,False,transmission,0.0,126.5122,34.7402,KR,POINT (126.5122 34.7402),True
526,526,389,154000,False,substation,False,transmission,0.0,127.8112,37.0839,KR,POINT (127.8112 37.0839),True
527,527,390,154000,False,substation,False,transmission,0.0,127.5012,37.263,KR,POINT (127.5012 37.263),True
528,528,391,345000,False,substation,False,transmission,0.0,126.9568,36.8308,KR,POINT (126.9568 36.8308),True
529,529,392,154000,False,substation,False,transmission,0.0,126.24,36.8421,KR,POINT (126.24 36.8421),True
530,530,392,345000,False,substation,False,transmission,0.0,126.241,36.8431,KR,POINT (126.241 36.8431),False
531,531,393,154000,False,substation,False,transmission,0.0,126.717,37.4149,KR,POINT (126.717 37.4149),True
532,532,394,154000,False,substation,False,transmission,0.0,127.6782,37.836,KR,POINT (127.6782 37.836),True
533,533,395,154000,False,substation,False,transmission,0.0,129.3819,36.8642,KR,POINT (129.3819 36.8642),True
534,534,396,154000,False,substation,False,transmission,0.0,129.02,37.5957,KR,POINT (129.02 37.5957),True
535,535,397,154000,False,substation,False,transmission,0.0,128.2315,36.6622,KR,POINT (128.2315 36.6622),True
536,536,398,154000,False,substation,False,transmission,0.0,127.3351,38.1792,KR,POINT (127.3351 38.1792),True
537,537,399,154000,False,substation,False,transmission,0.0,126.8109,37.5365,KR,POINT (126.8109 37.5365),True
538,538,400,154000,False,substation,False,transmission,0.0,126.8841,35.8403,KR,POINT (126.8841 35.8403),True
