,id,Type,Region,tags.power,tags.generator:method,power_output_MW,tags.generator:source,tags.generator:type,tags.location,tags.generator:plant,tags.ref,other_tags,geometry,Country
4122,3632286642,node,KR,generator,wind_turbine,1.0,wind,horizontal_axis,NULL,NULL,1,NULL,POINT (126.609625199999 37.555290300000074),KR
4134,4057481685,node,KR,generator,fission,996.0,nuclear,PWR,NULL,NULL,NULL,NULL,POINT (129.30022830000053 35.32691449999994),KR
4135,4057481686,node,KR,generator,fission,996.0,nuclear,PWR,NULL,NULL,NULL,NULL,POINT (129.30017050000052 35.327960099999935),KR
4136,4057490716,node,KR,generator,fission,997.0,nuclear,PWR,NULL,NULL,NULL,NULL,POINT (129.47808160000048 35.721421),KR
4137,4057490719,node,KR,generator,fission,993.0,nuclear,PWR,NULL,NULL,NULL,NULL,POINT (129.47842490000048 35.72232689999992),KR
4153,5747874265,node,KR,generator,fission,1416.0,nuclear,PWR,NULL,NULL,NULL,NULL,POINT (129.3104339000003 35.3371837),KR
4154,5747874266,node,KR,generator,fission,1418.0,nuclear,PWR,NULL,NULL,NULL,NULL,POINT (129.31094880000032 35.3384703),KR
4155,5747875464,node,KR,generator,fission,1012.0,nuclear,PWR,NULL,NULL,NULL,NULL,POINT (129.2973769000004 35.32022889999999),KR
4156,5747875465,node,KR,generator,fission,1011.0,nuclear,PWR,NULL,NULL,NULL,NULL,POINT (129.29461420000038 35.32022459999999),KR
4157,5747875466,node,KR,generator,fission,640.0,nuclear,PWR,NULL,NULL,NULL,NULL,POINT (129.29125070000038 35.3204959),KR
4158,5747875467,node,KR,generator,fission,576.0,nuclear,PWR,NULL,NULL,NULL,NULL,POINT (129.29017780000038 35.32018079999999),KR
4173,6501529107,node,KR,generator,wind_turbine,0.0,wind,horizontal_axis,NULL,NULL,1,NULL,POINT (129.2945531999999 35.33511159999982),KR
4177,6971884917,node,KR,generator,wind_turbine,1.0,wind,NULL,NULL,NULL,2-2,NULL,POINT (128.96207979999994 37.218988199999984),KR
4178,6971884918,node,KR,generator,wind_turbine,2.0,wind,NULL,NULL,NULL,4,NULL,POINT (128.96600109999994 37.224609399999984),KR
4179,6971884919,node,KR,generator,wind_turbine,2.0,wind,NULL,NULL,NULL,5,NULL,POINT (128.96814679999994 37.22463419999998),KR
4180,6971884920,node,KR,generator,wind_turbine,2.0,wind,NULL,NULL,NULL,3,NULL,POINT (128.96327859999994 37.22576619999998),KR
4181,6971884921,node,KR,generator,wind_turbine,2.0,wind,NULL,NULL,NULL,2,NULL,POINT (128.96296749999993 37.22749819999998),KR
4182,6971884922,node,KR,generator,wind_turbine,2.0,wind,NULL,NULL,NULL,1,NULL,POINT (128.96217019999995 37.23011829999998),KR
4183,6971884923,node,KR,generator,wind_turbine,2.0,wind,NULL,NULL,NULL,7,NULL,POINT (128.975402 37.21484379999998),KR
4184,6971884924,node,KR,generator,wind_turbine,2.0,wind,NULL,NULL,NULL,6,NULL,POINT (128.96808249999995 37.212792599999986),KR
4185,6971884925,node,KR,generator,wind_turbine,0.0,wind,NULL,NULL,NULL,1-1,NULL,POINT (128.96640569999994 37.21292369999998),KR
4186,6971884926,node,KR,generator,wind_turbine,1.0,wind,NULL,NULL,NULL,1-2,NULL,POINT (128.96571629999994 37.213433399999985),KR
4187,6971884927,node,KR,generator,wind_turbine,1.0,wind,NULL,NULL,NULL,1-3,NULL,POINT (128.96500619999995 37.21403179999999),KR
4188,6971884928,node,KR,generator,wind_turbine,1.0,wind,NULL,NULL,NULL,1-4,NULL,POINT (128.96450989999994 37.2145708),KR
4189,6971884929,node,KR,generator,wind_turbine,1.0,wind,NULL,NULL,NULL,1-5,NULL,POINT (128.96397549999995 37.21530459999999),KR
4190,6971884930,node,KR,generator,wind_turbine,1.0,wind,NULL,NULL,NULL,1-6,NULL,POINT (128.96290679999996 37.2154999),KR
4191,6971884935,node,KR,generator,wind_turbine,2.0,wind,NULL,NULL,NULL,NULL,NULL,POINT (128.89214819999995 37.1626404),KR
4203,6979956954,node,KR,generator,wind_turbine,2.0,wind,NULL,NULL,NULL,2,NULL,POINT (126.784979 33.57500469999993),KR
4276,6980073806,node,KR,generator,wind_turbine,3.0,wind,horizontal_axis,NULL,NULL,NULL,NULL,POINT (126.37415239999997 35.289290499999936),KR
4277,6980073807,node,KR,generator,wind_turbine,3.0,wind,horizontal_axis,NULL,NULL,NULL,NULL,POINT (126.37067589999997 35.290781899999935),KR
4278,6980073808,node,KR,generator,wind_turbine,3.0,wind,horizontal_axis,NULL,NULL,NULL,NULL,POINT (126.37179729999997 35.292475199999934),KR
4279,6980073809,node,KR,generator,wind_turbine,3.0,wind,horizontal_axis,NULL,NULL,NULL,NULL,POINT (126.37328619999997 35.294194699999935),KR
4280,6980073810,node,KR,generator,wind_turbine,3.0,wind,horizontal_axis,NULL,NULL,NULL,NULL,POINT (126.37564539999997 35.295583),KR
4281,6980073811,node,KR,generator,wind_turbine,3.0,wind,horizontal_axis,NULL,NULL,NULL,NULL,POINT (126.37870659999997 35.295517799999935),KR
4312,7603976531,node,KR,generator,combustion,1050.0,coal,steam_turbine,NULL,NULL,NULL,NULL,POINT (126.22756719999965 36.90318310000019),KR
4313,7603976532,node,KR,generator,combustion,1050.0,coal,steam_turbine,NULL,NULL,NULL,NULL,POINT (126.22875809999965 36.903517700000194),KR
4314,7603976533,node,KR,generator,combustion,500.0,coal,steam_turbine,NULL,NULL,NULL,NULL,POINT (126.23042109999965 36.90404100000019),KR
4315,7603976534,node,KR,generator,combustion,500.0,coal,steam_turbine,NULL,NULL,NULL,NULL,POINT (126.23127279999964 36.90427910000019),KR
4316,7603976535,node,KR,generator,combustion,500.0,coal,steam_turbine,NULL,NULL,NULL,NULL,POINT (126.23208339999964 36.90450580000019),KR
4317,7603976536,node,KR,generator,combustion,500.0,coal,steam_turbine,NULL,NULL,NULL,NULL,POINT (126.23295999999964 36.90475090000019),KR
4318,7603976537,node,KR,generator,combustion,500.0,coal,steam_turbine,NULL,NULL,NULL,NULL,POINT (126.23405879999963 36.90505810000019),KR
4319,7603976538,node,KR,generator,combustion,500.0,coal,steam_turbine,NULL,NULL,NULL,NULL,POINT (126.23487939999963 36.90528750000019),KR
4320,7603976539,node,KR,generator,combustion,500.0,coal,steam_turbine,NULL,NULL,NULL,NULL,POINT (126.23573689999962 36.905527300000195),KR
4321,7603976540,node,KR,generator,combustion,500.0,coal,steam_turbine,NULL,NULL,NULL,NULL,POINT (126.23655789999962 36.9057568000002),KR
4322,7603976567,node,KR,generator,NULL,31.0,hydro,NULL,NULL,NULL,NULL,NULL,POINT (127.66957909999962 37.9680237000002),KR
4323,7603976568,node,KR,generator,NULL,31.0,hydro,NULL,NULL,NULL,NULL,NULL,POINT (127.66931349999962 37.968082900000205),KR
4324,7603999896,node,KR,generator,NULL,27.0,hydro,NULL,NULL,NULL,NULL,NULL,POINT (127.7621662999996 38.099070800000185),KR
4325,7603999897,node,KR,generator,NULL,27.0,hydro,NULL,NULL,NULL,NULL,NULL,POINT (127.76220379999961 38.09920380000018),KR
4326,7603999898,node,KR,generator,NULL,27.0,hydro,NULL,NULL,NULL,NULL,NULL,POINT (127.76222529999961 38.099313500000186),KR
4327,7603999899,node,KR,generator,NULL,27.0,hydro,NULL,NULL,NULL,NULL,NULL,POINT (127.76224399999961 38.09942330000018),KR
4328,7606043364,node,KR,generator,combustion,450.0,gas,combined_cycle,NULL,NULL,NULL,NULL,POINT (126.60846229999962 37.51108750000013),KR
4329,7606043365,node,KR,generator,combustion,500.0,gas,combined_cycle,NULL,NULL,NULL,NULL,POINT (126.60935279999961 37.51069610000013),KR
4330,7606043366,node,KR,generator,combustion,500.0,gas,combined_cycle,NULL,NULL,NULL,NULL,POINT (126.61062949999962 37.51037270000013),KR
4331,7606043367,node,KR,generator,combustion,420.0,gas,combined_cycle,NULL,NULL,NULL,NULL,POINT (126.60921329999962 37.50746200000013),KR
4332,7606043368,node,KR,generator,combustion,420.0,gas,combined_cycle,NULL,NULL,NULL,NULL,POINT (126.60923479999963 37.50708750000013),KR
4333,7606043369,node,KR,generator,combustion,420.0,gas,combined_cycle,NULL,NULL,NULL,NULL,POINT (126.60922409999962 37.50779390000013),KR
4334,7606043370,node,KR,generator,combustion,626.0,gas,combined_cycle,NULL,NULL,NULL,NULL,POINT (126.60690129999962 37.50733860000013),KR
4335,7606043371,node,KR,generator,combustion,626.0,gas,combined_cycle,NULL,NULL,NULL,NULL,POINT (126.60548509999963 37.50735130000013),KR
4336,7606043372,node,KR,generator,combustion,450.0,gas,combined_cycle,NULL,NULL,NULL,NULL,POINT (126.62086489999963 37.51085780000013),KR
4337,7606043373,node,KR,generator,combustion,450.0,gas,combined_cycle,NULL,NULL,NULL,NULL,POINT (126.61508199999963 37.50841520000013),KR
4338,7606043374,node,KR,generator,combustion,225.0,gas,combined_cycle,NULL,NULL,NULL,NULL,POINT (126.60059809999963 37.53632540000013),KR
4339,7606043375,node,KR,generator,combustion,225.0,gas,combined_cycle,NULL,NULL,NULL,NULL,POINT (126.60169249999963 37.53632860000013),KR
4340,7606043376,node,KR,generator,combustion,225.0,gas,combined_cycle,NULL,NULL,NULL,NULL,POINT (126.60118809999963 37.53632710000013),KR
4341,7606043377,node,KR,generator,combustion,225.0,gas,combined_cycle,NULL,NULL,NULL,NULL,POINT (126.60222349999964 37.53633020000013),KR
4342,7606043378,node,KR,generator,combustion,225.0,gas,combined_cycle,NULL,NULL,NULL,NULL,POINT (126.60382759999963 37.53633490000013),KR
4343,7606043379,node,KR,generator,combustion,225.0,gas,combined_cycle,NULL,NULL,NULL,NULL,POINT (126.60339829999964 37.53633360000013),KR
4344,7606043380,node,KR,generator,combustion,225.0,gas,combined_cycle,NULL,NULL,NULL,NULL,POINT (126.60442299999964 37.53633670000013),KR
4345,7606043381,node,KR,generator,combustion,225.0,gas,combined_cycle,NULL,NULL,NULL,NULL,POINT (126.60493249999965 37.53633820000013),KR
4346,7606043382,node,KR,generator,combustion,450.0,gas,combined_cycle,NULL,NULL,NULL,NULL,POINT (126.60939569999965 37.53641900000013),KR
4347,7606043383,node,KR,generator,combustion,450.0,gas,combined_cycle,NULL,NULL,NULL,NULL,POINT (126.61046859999965 37.53641900000013),KR
4348,7606043384,node,KR,generator,combustion,450.0,gas,combined_cycle,NULL,NULL,NULL,NULL,POINT (126.60786149999964 37.53644450000013),KR
4349,7606056285,node,KR,generator,combustion,450.0,gas,combined_cycle,NULL,NULL,NULL,NULL,POINT (126.60657399999964 37.53641900000013),KR
4350,7606056327,node,KR,generator,combustion,450.0,gas,combined_cycle,NULL,NULL,NULL,NULL,POINT (126.48607849999966 36.397261200000145),KR
4351,7606056328,node,KR,generator,combustion,450.0,gas,combined_cycle,NULL,NULL,NULL,NULL,POINT (126.48605699999966 36.39560300000014),KR
4352,7606056329,node,KR,generator,combustion,450.0,gas,combined_cycle,NULL,NULL,NULL,NULL,POINT (126.48604629999966 36.396155800000145),KR
4353,7606056330,node,KR,generator,combustion,500.0,coal,steam_turbine,NULL,NULL,NULL,NULL,POINT (126.49569149999965 36.40123360000015),KR
4354,7606056331,node,KR,generator,combustion,500.0,coal,steam_turbine,NULL,NULL,NULL,NULL,POINT (126.49474739999965 36.40119900000015),KR
4355,7606056332,node,KR,generator,combustion,500.0,coal,steam_turbine,NULL,NULL,NULL,NULL,POINT (126.49352429999965 36.40115580000015),KR
4356,7606056333,node,KR,generator,combustion,500.0,coal,steam_turbine,NULL,NULL,NULL,NULL,POINT (126.49167889999966 36.401147200000146),KR
4357,7606056334,node,KR,generator,combustion,500.0,coal,steam_turbine,NULL,NULL,NULL,NULL,POINT (126.49263379999965 36.40112990000014),KR
4358,7606056335,node,KR,generator,combustion,500.0,coal,steam_turbine,NULL,NULL,NULL,NULL,POINT (126.49088499999965 36.40111270000014),KR
4359,7606056336,node,KR,generator,combustion,500.0,coal,steam_turbine,NULL,NULL,NULL,NULL,POINT (126.48956539999965 36.40104360000014),KR
4360,7606056337,node,KR,generator,combustion,500.0,coal,steam_turbine,NULL,NULL,NULL,NULL,POINT (126.48868559999964 36.40104360000014),KR
4364,7606056347,node,KR,generator,combustion,400.0,oil,steam_turbine,NULL,NULL,NULL,NULL,POINT (129.38083649999962 35.47527110000014),KR
