,line_id,bus0,bus1,voltage_bus0,voltage_bus1,country,geometry,bounds,bus_0_coors,bus_1_coors,bus0_lon,bus0_lat,bus1_lon,bus1_lat
828,transf_17_0,42,43,154000,345000,KR,"LINESTRING (128.8341 35.8714, 128.8351 35.8724)","MULTIPOINT ((128.8341 35.8714), (128.8351 35.8724))",POINT (128.8341 35.8714),POINT (128.8351 35.8724),128.8341,35.8714,128.8351,35.8724
829,transf_17_1,43,44,345000,354000,KR,"LINESTRING (128.8351 35.8724, 128.8361 35.8734)","MULTIPOINT ((128.8351 35.8724), (128.8361 35.8734))",POINT (128.8351 35.8724),POINT (128.8361 35.8734),128.8351,35.8724,128.8361,35.8734
830,transf_18_0,45,46,154000,345000,KR,"LINESTRING (128.403 35.734, 128.404 35.735)","MULTIPOINT ((128.403 35.734), (128.404 35.735))",POINT (128.403 35.734),POINT (128.404 35.735),128.403,35.734,128.404,35.735
831,transf_19_0,47,48,154000,345000,KR,"LINESTRING (129.4732 35.7146, 129.4742 35.7156)","MULTIPOINT ((129.4732 35.7146), (129.4742 35.7156))",POINT (129.4732 35.7146),POINT (129.4742 35.7156),129.4732,35.7146,129.4742,35.7156
832,transf_20_0,49,50,154000,345000,KR,"LINESTRING (128.4076 35.9664, 128.4086 35.9674)","MULTIPOINT ((128.4076 35.9664), (128.4086 35.9674))",POINT (128.4076 35.9664),POINT (128.4086 35.9674),128.4076,35.9664,128.4086,35.9674
833,transf_21_0,51,52,154000,345000,KR,"LINESTRING (127.2451 37.0221, 127.2461 37.0231)","MULTIPOINT ((127.2451 37.0221), (127.2461 37.0231))",POINT (127.2451 37.0221),POINT (127.2461 37.0231),127.2451,37.0221,127.2461,37.0231
834,transf_23_0,54,55,154000,345000,KR,"LINESTRING (127.4613 36.5534, 127.4623 36.5544)","MULTIPOINT ((127.4613 36.5534), (127.4623 36.5544))",POINT (127.4613 36.5534),POINT (127.4623 36.5544),127.4613,36.5534,127.4623,36.5544
835,transf_24_0,56,57,154000,345000,KR,"LINESTRING (126.9192 35.2053, 126.9202 35.2063)","MULTIPOINT ((126.9192 35.2053), (126.9202 35.2063))",POINT (126.9192 35.2053),POINT (126.9202 35.2063),126.9192,35.2053,126.9202,35.2063
836,transf_25_0,58,59,154000,345000,KR,"LINESTRING (127.468 35.4508, 127.469 35.4518)","MULTIPOINT ((127.468 35.4508), (127.469 35.4518))",POINT (127.468 35.4508),POINT (127.469 35.4518),127.468,35.4508,127.469,35.4518
837,transf_26_0,60,61,154000,345000,KR,"LINESTRING (127.0151 35.752, 127.0161 35.753)","MULTIPOINT ((127.0151 35.752), (127.0161 35.753))",POINT (127.0151 35.752),POINT (127.0161 35.753),127.0151,35.752,127.0161,35.753
838,transf_27_0,62,63,154000,345000,KR,"LINESTRING (128.1255 35.3423, 128.1265 35.3433)","MULTIPOINT ((128.1255 35.3423), (128.1265 35.3433))",POINT (128.1255 35.3423),POINT (128.1265 35.3433),128.1255,35.3423,128.1265,35.3433
839,transf_28_0,64,65,154000,345000,KR,"LINESTRING (128.5237 35.2878, 128.5247 35.2888)","MULTIPOINT ((128.5237 35.2878), (128.5247 35.2888))",POINT (128.5237 35.2878),POINT (128.5247 35.2888),128.5237,35.2878,128.5247,35.2888
840,transf_29_0,66,67,154000,345000,KR,"LINESTRING (129.1642 35.2458, 129.1652 35.2468)","MULTIPOINT ((129.1642 35.2458), (129.1652 35.2468))",POINT (129.1642 35.2458),POINT (129.1652 35.2468),129.1642,35.2458,129.1652,35.2468
841,transf_29_1,67,68,345000,354000,KR,"LINESTRING (129.1652 35.2468, 129.1662 35.2478)","MULTIPOINT ((129.1652 35.2468), (129.1662 35.2478))",POINT (129.1652 35.2468),POINT (129.1662 35.2478),129.1652,35.2468,129.1662,35.2478
842,transf_30_0,69,70,154000,345000,KR,"LINESTRING (128.7902 35.2179, 128.7912 35.2189)","MULTIPOINT ((128.7902 35.2179), (128.7912 35.2189))",POINT (128.7902 35.2179),POINT (128.7912 35.2189),128.7902,35.2179,128.7912,35.2189
843,transf_31_0,71,72,154000,345000,KR,"LINESTRING (127.6229 34.9711, 127.6239 34.9721)","MULTIPOINT ((127.6229 34.9711), (127.6239 34.9721))",POINT (127.6229 34.9711),POINT (127.6239 34.9721),127.6229,34.9711,127.6239,34.9721
844,transf_33_0,74,75,154000,345000,KR,"LINESTRING (126.9128 37.311, 126.9138 37.312)","MULTIPOINT ((126.9128 37.311), (126.9138 37.312))",POINT (126.9128 37.311),POINT (126.9138 37.312),126.9128,37.311,126.9138,37.312
845,transf_34_0,76,77,154000,345000,KR,"LINESTRING (126.8841 37.1421, 126.8851 37.1431)","MULTIPOINT ((126.8841 37.1421), (126.8851 37.1431))",POINT (126.8841 37.1421),POINT (126.8851 37.1431),126.8841,37.1421,126.8851,37.1431
846,transf_35_0,78,79,154000,345000,KR,"LINESTRING (127.0081 36.8766, 127.0091 36.8776)","MULTIPOINT ((127.0081 36.8766), (127.0091 36.8776))",POINT (127.0081 36.8766),POINT (127.0091 36.8776),127.0081,36.8766,127.0091,36.8776
847,transf_36_0,80,81,154000,345000,KR,"LINESTRING (126.7638 37.3511, 126.7648 37.3521)","MULTIPOINT ((126.7638 37.3511), (126.7648 37.3521))",POINT (126.7638 37.3511),POINT (126.7648 37.3521),126.7638,37.3511,126.7648,37.3521
848,transf_37_0,82,83,154000,345000,KR,"LINESTRING (127.3861 36.8217, 127.3871 36.8227)","MULTIPOINT ((127.3861 36.8217), (127.3871 36.8227))",POINT (127.3861 36.8217),POINT (127.3871 36.8227),127.3861,36.8217,127.3871,36.8227
849,transf_38_0,84,85,154000,345000,KR,"LINESTRING (126.9238 36.7895, 126.9248 36.7905)","MULTIPOINT ((126.9238 36.7895), (126.9248 36.7905))",POINT (126.9238 36.7895),POINT (126.9248 36.7905),126.9238,36.7895,126.9248,36.7905
850,transf_39_0,86,87,154000,345000,KR,"LINESTRING (126.6425 36.7695, 126.6435 36.7705)","MULTIPOINT ((126.6425 36.7695), (126.6435 36.7705))",POINT (126.6425 36.7695),POINT (126.6435 36.7705),126.6425,36.7695,126.6435,36.7705
851,transf_39_1,87,88,345000,765000,KR,"LINESTRING (126.6435 36.7705, 126.6445 36.7715)","MULTIPOINT ((126.6435 36.7705), (126.6445 36.7715))",POINT (126.6435 36.7705),POINT (126.6445 36.7715),126.6435,36.7705,126.6445,36.7715
852,transf_40_0,89,90,154000,345000,KR,"LINESTRING (127.1615 37.5041, 127.1625 37.5051)","MULTIPOINT ((127.1615 37.5041), (127.1625 37.5051))",POINT (127.1615 37.5041),POINT (127.1625 37.5051),127.1615,37.5041,127.1625,37.5051
853,transf_41_0,91,92,154000,345000,KR,"LINESTRING (127.1753 37.6091, 127.1763 37.6101)","MULTIPOINT ((127.1753 37.6091), (127.1763 37.6101))",POINT (127.1753 37.6091),POINT (127.1763 37.6101),127.1753,37.6091,127.1763,37.6101
854,transf_42_0,93,94,154000,345000,KR,"LINESTRING (126.8958 37.6695, 126.8968 37.6705)","MULTIPOINT ((126.8958 37.6695), (126.8968 37.6705))",POINT (126.8958 37.6695),POINT (126.8968 37.6705),126.8958,37.6695,126.8968,37.6705
855,transf_43_0,95,96,154000,345000,KR,"LINESTRING (128.5685 36.7752, 128.5695 36.7762)","MULTIPOINT ((128.5685 36.7752), (128.5695 36.7762))",POINT (128.5685 36.7752),POINT (128.5695 36.7762),128.5685,36.7752,128.5695,36.7762
856,transf_44_0,97,98,345000,765000,KR,"LINESTRING (128.962 37.2561, 128.963 37.2571)","MULTIPOINT ((128.962 37.2561), (128.963 37.2571))",POINT (128.962 37.2561),POINT (128.963 37.2571),128.962,37.2561,128.963,37.2571
857,transf_46_0,100,101,345000,765000,KR,"LINESTRING (127.5047 37.6189, 127.5057 37.6199)","MULTIPOINT ((127.5047 37.6189), (127.5057 37.6199))",POINT (127.5047 37.6189),POINT (127.5057 37.6199),127.5047,37.6189,127.5057,37.6199
858,transf_47_0,102,103,154000,345000,KR,"LINESTRING (126.9336 34.9642, 126.9346 34.9652)","MULTIPOINT ((126.9336 34.9642), (126.9346 34.9652))",POINT (126.9336 34.9642),POINT (126.9346 34.9652),126.9336,34.9642,126.9346,34.9652
859,transf_48_0,104,105,154000,345000,KR,"LINESTRING (126.7017 34.7287, 126.7027 34.7297)","MULTIPOINT ((126.7017 34.7287), (126.7027 34.7297))",POINT (126.7017 34.7287),POINT (126.7027 34.7297),126.7017,34.7287,126.7027,34.7297
860,transf_49_0,106,107,154000,345000,KR,"LINESTRING (128.5421 38.0153, 128.5431 38.0163)","MULTIPOINT ((128.5421 38.0153), (128.5431 38.0163))",POINT (128.5421 38.0153),POINT (128.5431 38.0163),128.5421,38.0153,128.5431,38.0163
861,transf_49_1,107,108,345000,354000,KR,"LINESTRING (128.5431 38.0163, 128.5441 38.0173)","MULTIPOINT ((128.5431 38.0163), (128.5441 38.0173))",POINT (128.5431 38.0163),POINT (128.5441 38.0173),128.5431,38.0163,128.5441,38.0173
862,transf_50_0,109,110,154000,345000,KR,"LINESTRING (129.1009 37.4934, 129.1019 37.4944)","MULTIPOINT ((129.1009 37.4934), (129.1019 37.4944))",POINT (129.1009 37.4934),POINT (129.1019 37.4944),129.1009,37.4934,129.1019,37.4944
863,transf_51_0,111,112,154000,345000,KR,"LINESTRING (128.2138 37.1723, 128.2148 37.1733)","MULTIPOINT ((128.2138 37.1723), (128.2148 37.1733))",POINT (128.2138 37.1723),POINT (128.2148 37.1733),128.2138,37.1723,128.2148,37.1733
864,transf_52_0,113,114,154000,345000,KR,"LINESTRING (127.3394 37.3741, 127.3404 37.3751)","MULTIPOINT ((127.3394 37.3741), (127.3404 37.3751))",POINT (127.3394 37.3741),POINT (127.3404 37.3751),127.3394,37.3741,127.3404,37.3751
865,transf_53_0,115,116,154000,345000,KR,"LINESTRING (126.7582 37.7116, 126.7592 37.7126)","MULTIPOINT ((126.7582 37.7116), (126.7592 37.7126))",POINT (126.7582 37.7116),POINT (126.7592 37.7126),126.7582,37.7116,126.7592,37.7126
866,transf_54_0,117,118,154000,345000,KR,"LINESTRING (126.785 37.8122, 126.786 37.8132)","MULTIPOINT ((126.785 37.8122), (126.786 37.8132))",POINT (126.785 37.8122),POINT (126.786 37.8132),126.785,37.8122,126.786,37.8132
867,transf_55_0,119,120,154000,345000,KR,"LINESTRING (127.1575 37.9487, 127.1585 37.9497)","MULTIPOINT ((127.1575 37.9487), (127.1585 37.9497))",POINT (127.1575 37.9487),POINT (127.1585 37.9497),127.1575,37.9487,127.1585,37.9497
868,transf_58_0,123,124,154000,345000,KR,"LINESTRING (126.8803 37.5371, 126.8813 37.5381)","MULTIPOINT ((126.8803 37.5371), (126.8813 37.5381))",POINT (126.8803 37.5371),POINT (126.8813 37.5381),126.8803,37.5371,126.8813,37.5381
869,transf_61_0,127,128,154000,345000,KR,"LINESTRING (127.7126 34.8298, 127.7136 34.8308)","MULTIPOINT ((127.7126 34.8298), (127.7136 34.8308))",POINT (127.7126 34.8298),POINT (127.7136 34.8308),127.7126,34.8298,127.7136,34.8308
870,transf_62_0,129,130,154000,345000,KR,"LINESTRING (126.6944 37.4885, 126.6954 37.4895)","MULTIPOINT ((126.6944 37.4885), (126.6954 37.4895))",POINT (126.6944 37.4885),POINT (126.6954 37.4895),126.6944,37.4885,126.6954,37.4895
