,line_id,bus0,bus1,voltage_bus0,voltage_bus1,country,geometry,bounds,bus_0_coors,bus_1_coors,bus0_lon,bus0_lat,bus1_lon,bus1_lat
894,transf_102_0,193,194,154000,345000,KR,"LINESTRING (129.3483 35.7304, 129.3493 35.7314)","MULTIPOINT ((129.3483 35.7304), (129.3493 35.7314))",POINT (129.3483 35.7304),POINT (129.3493 35.7314),129.3483,35.7304,129.3493,35.7314
895,transf_102_1,194,195,345000,354000,KR,"LINESTRING (129.3493 35.7314, 129.3503 35.7324)","MULTIPOINT ((129.3493 35.7314), (129.3503 35.7324))",POINT (129.3493 35.7314),POINT (129.3503 35.7324),129.3493,35.7314,129.3503,35.7324
896,transf_107_0,200,201,154000,345000,KR,"LINESTRING (126.4914 36.3976, 126.4924 36.3986)","MULTIPOINT ((126.4914 36.3976), (126.4924 36.3986))",POINT (126.4914 36.3976),POINT (126.4924 36.3986),126.4914,36.3976,126.4924,36.3986
897,transf_110_0,204,205,154000,765000,KR,"LINESTRING (126.5179 37.0503, 126.5189 37.0513)","MULTIPOINT ((126.5179 37.0503), (126.5189 37.0513))",POINT (126.5179 37.0503),POINT (126.5189 37.0513),126.5179,37.0503,126.5189,37.0513
898,transf_135_0,231,232,154000,345000,KR,"LINESTRING (126.994 37.407, 126.995 37.408)","MULTIPOINT ((126.994 37.407), (126.995 37.408))",POINT (126.994 37.407),POINT (126.995 37.408),126.994,37.407,126.995,37.408
899,transf_139_0,236,237,154000,345000,KR,"LINESTRING (127.0515 35.8337, 127.0525 35.8347)","MULTIPOINT ((127.0515 35.8337), (127.0525 35.8347))",POINT (127.0515 35.8337),POINT (127.0525 35.8347),127.0515,35.8337,127.0525,35.8347
900,transf_140_0,238,239,154000,345000,KR,"LINESTRING (128.8312 35.7524, 128.8322 35.7534)","MULTIPOINT ((128.8312 35.7524), (128.8322 35.7534))",POINT (128.8312 35.7524),POINT (128.8322 35.7534),128.8312,35.7524,128.8322,35.7534
901,transf_141_0,240,241,154000,345000,KR,"LINESTRING (129.1546 35.5674, 129.1556 35.5684)","MULTIPOINT ((129.1546 35.5674), (129.1556 35.5684))",POINT (129.1546 35.5674),POINT (129.1556 35.5684),129.1546,35.5674,129.1556,35.5684
902,transf_143_0,243,244,154000,345000,KR,"LINESTRING (129.4137 35.7628, 129.4147 35.7638)","MULTIPOINT ((129.4137 35.7628), (129.4147 35.7638))",POINT (129.4137 35.7628),POINT (129.4147 35.7638),129.4137,35.7628,129.4147,35.7638
903,transf_144_0,245,246,154000,345000,KR,"LINESTRING (128.5309 35.9506, 128.5319 35.9516)","MULTIPOINT ((128.5309 35.9506), (128.5319 35.9516))",POINT (128.5309 35.9506),POINT (128.5319 35.9516),128.5309,35.9506,128.5319,35.9516
904,transf_151_0,253,254,154000,345000,KR,"LINESTRING (127.8188 34.9568, 127.8198 34.9578)","MULTIPOINT ((127.8188 34.9568), (127.8198 34.9578))",POINT (127.8188 34.9568),POINT (127.8198 34.9578),127.8188,34.9568,127.8198,34.9578
905,transf_153_0,256,257,154000,345000,KR,"LINESTRING (127.5673 34.8974, 127.5683 34.8984)","MULTIPOINT ((127.5673 34.8974), (127.5683 34.8984))",POINT (127.5673 34.8974),POINT (127.5683 34.8984),127.5673,34.8974,127.5683,34.8984
906,transf_161_0,265,266,154000,345000,KR,"LINESTRING (126.855 37.3763, 126.856 37.3773)","MULTIPOINT ((126.855 37.3763), (126.856 37.3773))",POINT (126.855 37.3763),POINT (126.856 37.3773),126.855,37.3763,126.856,37.3773
